id,attr_time,attr_x,attr_y,attr_z
1,1436472360013,-21.34,-40.476,5.43
2,1436472360027,-21.34,-40.476,5.43
3,1436472360047,-21.34,-40.476,5.43
4,1436472360068,-21.34,-40.174,5.43
5,1436472360087,-21.34,-40.174,5.43
6,1436472360106,-21.34,-40.174,5.43
7,1436472360128,-21.34,-40.174,5.43
8,1436472360148,-21.34,-40.174,5.43
9,1436472360167,-21.34,-40.174,5.43
10,1436472360187,-21.34,-40.174,5.43
11,1436472360208,-21.34,-40.174,5.43
12,1436472360227,-21.34,-40.174,5.43
13,1436472360245,-21.34,-40.174,5.43
14,1436472360267,-21.34,-40.174,5.43
15,1436472360289,-21.34,-40.174,5.43
16,1436472360310,-21.34,-40.174,5.43
17,1436472360330,-21.34,-40.174,5.43
18,1436472360349,-21.34,-40.174,5.43
19,1436472360366,-21.34,-40.174,5.43
20,1436472360387,-21.34,-40.174,5.43
21,1436472360408,-21.34,-40.174,5.43
22,1436472360427,-21.655,-40.174,5.43
23,1436472360509,-21.655,-40.174,5.43
24,1436472360510,-21.655,-40.174,5.43
25,1436472360511,-21.655,-40.174,5.43
26,1436472360512,-21.655,-40.174,5.43
27,1436472360527,-21.655,-40.174,5.43
28,1436472360549,-21.655,-40.174,5.43
29,1436472360566,-21.655,-40.174,5.43
30,1436472360586,-21.655,-40.174,5.43
31,1436472360609,-21.655,-40.174,5.43
32,1436472360627,-21.655,-40.174,5.43
33,1436472360647,-21.655,-40.174,5.43
34,1436472360667,-21.655,-40.174,5.43
35,1436472360686,-21.655,-40.174,5.43
36,1436472360706,-21.655,-40.174,5.43
37,1436472360729,-21.655,-40.174,5.43
38,1436472360749,-21.655,-40.174,5.43
39,1436472360769,-21.655,-40.174,5.43
40,1436472360789,-21.655,-40.174,5.43
41,1436472360809,-21.655,-40.174,5.43
42,1436472360829,-21.655,-40.174,5.43
43,1436472360849,-21.655,-40.174,5.43
44,1436472360869,-21.655,-40.174,5.43
45,1436472360890,-21.655,-40.174,5.43
46,1436472360908,-21.655,-40.174,5.43
47,1436472360929,-21.655,-40.174,5.43
48,1436472360948,-21.655,-40.174,5.093
49,1436472360968,-21.655,-40.174,5.093
