id,attr_time,attr_x,attr_y,attr_z
1,1436472360014,-44.726,-13.806,5.737
2,1436472360034,-44.726,-13.806,5.737
3,1436472360054,-44.726,-13.806,5.737
4,1436472360073,-44.726,-13.806,5.737
5,1436472360103,-44.726,-13.504,5.737
6,1436472360112,-44.726,-13.504,5.737
7,1436472360159,-44.726,-13.504,5.737
8,1436472360160,-44.726,-13.504,5.737
9,1436472360171,-44.726,-13.504,5.737
10,1436472360191,-44.726,-13.504,5.737
11,1436472360212,-44.726,-13.504,5.737
12,1436472360231,-44.726,-13.504,5.737
13,1436472360251,-44.726,-13.504,5.737
14,1436472360275,-44.726,-13.504,5.737
15,1436472360293,-44.726,-13.504,5.737
16,1436472360313,-44.726,-13.504,5.737
17,1436472360332,-44.726,-13.504,5.737
18,1436472360352,-44.726,-13.504,5.737
19,1436472360374,-44.726,-13.504,5.737
20,1436472360392,-44.726,-13.504,5.737
21,1436472360413,-44.726,-13.504,5.737
22,1436472360432,-44.726,-13.504,5.737
23,1436472360454,-44.726,-13.504,5.737
24,1436472360472,-44.726,-13.504,5.737
25,1436472360495,-44.726,-13.504,5.737
26,1436472360512,-44.726,-13.504,6.04
27,1436472360533,-44.726,-13.504,6.04
28,1436472360555,-44.726,-13.504,6.04
29,1436472360574,-44.726,-13.504,6.04
30,1436472360595,-44.726,-13.504,6.04
31,1436472360612,-44.726,-13.504,6.04
32,1436472360635,-44.726,-13.185,6.372
33,1436472360655,-44.726,-13.185,6.372
34,1436472360673,-44.726,-13.185,6.372
35,1436472360695,-44.726,-13.185,6.372
36,1436472360716,-44.726,-13.185,6.372
37,1436472360734,-44.726,-13.185,6.372
38,1436472360753,-44.726,-13.185,6.372
39,1436472360774,-44.726,-13.185,6.372
40,1436472360793,-44.726,-13.185,6.372
41,1436472360814,-44.726,-13.185,6.372
42,1436472360832,-44.726,-13.185,6.372
43,1436472360855,-44.726,-12.867,6.372
44,1436472360878,-44.726,-12.867,6.372
45,1436472360895,-44.726,-12.867,6.372
46,1436472360915,-44.726,-12.867,6.372
47,1436472360934,-44.726,-12.867,6.372
48,1436472360990,-44.726,-12.867,6.372
49,1436472360991,-44.726,-12.867,6.372
50,1436472360993,-44.726,-12.867,6.372
51,1436472361012,-44.726,-12.525,6.372
52,1436472361032,-44.726,-12.525,6.372
53,1436472361052,-44.726,-12.525,6.372
54,1436472361072,-44.726,-12.525,6.372
55,1436472361092,-44.726,-12.525,6.372
56,1436472361112,-44.726,-12.525,6.372
57,1436472361141,-44.726,-12.525,6.372
