id,attr_time,attr_x,attr_y,attr_z
1,1436464501029,43.386,-24.949,-7.005
2,1436464501051,43.386,-24.949,-7.005
3,1436464501068,43.386,-24.949,-6.663
4,1436464501089,43.386,-24.949,-6.663
5,1436464501114,43.386,-24.949,-6.663
6,1436464501129,43.386,-24.949,-6.663
7,1436464501149,43.386,-24.949,-6.314
8,1436464501172,43.386,-24.949,-6.314
9,1436464501192,43.386,-24.949,-6.314
10,1436464501212,43.386,-24.949,-6.314
11,1436464501229,43.386,-24.949,-6.314
12,1436464501252,43.386,-24.949,-6.314
13,1436464501272,43.386,-24.949,-6.314
14,1436464501290,43.386,-24.949,-6.314
15,1436464501311,43.023,-24.949,-6.314
16,1436464501337,43.023,-24.949,-6.314
17,1436464501402,43.023,-24.949,-6.314
18,1436464501403,42.684,-24.949,-6.314
19,1436464501404,42.684,-24.632,-6.314
20,1436464501411,42.684,-24.632,-6.314
21,1436464501431,42.684,-24.632,-6.314
22,1436464501453,42.286,-24.632,-6.314
23,1436464501469,42.286,-24.632,-6.314
24,1436464501489,42.286,-24.632,-6.314
25,1436464501524,41.873,-24.632,-6.314
26,1436464501529,41.873,-24.632,-6.654
27,1436464501550,41.523,-25.015,-6.654
28,1436464501570,41.523,-25.015,-6.654
29,1436464501591,41.523,-25.956,-6.654
30,1436464501611,41.116,-26.599,-6.654
31,1436464501631,41.116,-27.445,-6.654
32,1436464501652,41.116,-27.873,-6.654
33,1436464501672,40.744,-28.311,-6.654
34,1436464501690,40.744,-28.311,-6.654
35,1436464501712,40.744,-29.118,-6.654
36,1436464501730,40.396,-29.934,-6.654
37,1436464501750,40.396,-29.934,-6.654
38,1436464501772,40.396,-30.351,-6.654
39,1436464501794,40.396,-30.351,-6.654
40,1436464501812,40.032,-30.351,-6.654
41,1436464501830,40.032,-30.351,-6.654
42,1436464501850,40.032,-30.351,-6.654
43,1436464501872,39.624,-30.693,-6.654
44,1436464501893,39.624,-30.693,-6.654
45,1436464501910,39.624,-30.693,-6.654
46,1436464501932,39.283,-30.693,-6.654
47,1436464501950,39.283,-30.693,-6.654
48,1436464501970,39.283,-30.693,-6.654
49,1436464501996,38.954,-30.693,-6.654
50,1436464502010,38.954,-31.144,-6.654
51,1436464502032,38.595,-31.144,-6.654
52,1436464502059,38.595,-31.448,-6.654
53,1436464502131,37.985,-31.448,-6.654
54,1436464502132,37.658,-31.448,-6.977
55,1436464502133,37.2,-31.883,-6.977
56,1436464502134,37.2,-31.883,-6.977
57,1436464502151,36.578,-31.883,-7.356
58,1436464502172,36.578,-32.24,-7.356
59,1436464502189,36.262,-32.24,-7.356
60,1436464502211,36.262,-32.553,-7.743
61,1436464502241,36.262,-32.553,-7.743
62,1436464502249,36.262,-32.905,-7.743
63,1436464502274,36.262,-32.905,-8.056
64,1436464502289,36.262,-33.226,-8.056
65,1436464502317,36.262,-33.226,-8.056
66,1436464502331,36.262,-33.226,-8.361
67,1436464502352,35.848,-33.583,-8.361
68,1436464502372,35.848,-33.583,-8.361
69,1436464502394,35.848,-33.583,-8.708
70,1436464502412,35.848,-33.583,-8.708
71,1436464502433,35.848,-33.894,-8.708
72,1436464502450,35.848,-33.894,-9.033
73,1436464502472,35.848,-33.894,-9.033
74,1436464502493,35.848,-33.894,-9.033
75,1436464502514,35.848,-33.894,-9.033
76,1436464502532,35.848,-33.894,-9.033
77,1436464502555,35.848,-33.894,-9.033
78,1436464502571,35.848,-33.894,-9.358
79,1436464502592,36.17,-33.894,-9.358
80,1436464502612,36.17,-33.894,-9.358
81,1436464502632,36.17,-33.894,-9.358
82,1436464502653,36.17,-33.526,-9.358
83,1436464502670,36.17,-33.526,-9.704
84,1436464502690,36.17,-33.181,-9.704
85,1436464502711,36.17,-33.181,-9.704
86,1436464502737,36.483,-32.852,-9.704
87,1436464502756,36.483,-32.852,-10.025
88,1436464502772,36.483,-32.511,-10.025
89,1436464502791,36.483,-32.511,-10.025
90,1436464502814,36.483,-32.205,-10.365
91,1436464502871,36.483,-32.205,-10.365
92,1436464502872,36.483,-31.874,-10.365
93,1436464502873,36.483,-31.874,-10.365
94,1436464502892,36.483,-31.562,-10.807
95,1436464502912,36.483,-31.562,-10.807
96,1436464502931,36.483,-31.219,-10.807
97,1436464502950,36.483,-31.219,-11.206
98,1436464502970,36.483,-30.844,-11.206
99,1436464502992,36.483,-30.844,-11.521
100,1436464503011,36.483,-30.412,-11.521
101,1436464503031,36.483,-30.412,-11.863
102,1436464503054,36.825,-29.977,-11.863
103,1436464503071,36.825,-29.977,-12.214
104,1436464503094,36.825,-29.634,-12.214
105,1436464503114,37.237,-29.634,-12.835
106,1436464503133,37.237,-29.278,-13.154
107,1436464503154,37.237,-29.278,-13.154
108,1436464503174,37.657,-28.768,-13.989
109,1436464503193,37.657,-28.349,-14.416
110,1436464503215,37.657,-27.947,-14.939
111,1436464503233,38.061,-27.639,-15.634
112,1436464503254,38.061,-27.259,-16.052
113,1436464503274,38.372,-27.259,-16.052
114,1436464503292,38.372,-27.259,-16.366
115,1436464503314,38.372,-26.892,-16.366
116,1436464503375,38.717,-26.892,-16.796
117,1436464503376,38.717,-26.892,-16.796
118,1436464503377,38.717,-26.574,-16.796
119,1436464503394,38.717,-26.574,-17.297
120,1436464503412,38.717,-26.574,-17.297
121,1436464503431,38.717,-26.191,-17.297
122,1436464503451,38.717,-26.191,-17.297
