id,attr_time,attr_x,attr_y,attr_z
1,1436464501038,-7.513,-43.667,-14.265
2,1436464501049,-7.513,-43.667,-14.265
3,1436464501067,-7.513,-43.667,-14.265
4,1436464501089,-7.513,-43.667,-14.265
5,1436464501107,-7.513,-43.667,-14.265
6,1436464501129,-7.82,-43.667,-14.265
7,1436464501148,-7.82,-43.667,-14.265
8,1436464501169,-7.82,-43.667,-14.265
9,1436464501191,-7.82,-43.667,-14.265
10,1436464501210,-7.82,-43.667,-14.265
11,1436464501230,-7.82,-43.667,-14.265
12,1436464501248,-7.82,-43.667,-14.265
13,1436464501270,-7.82,-43.667,-13.94
14,1436464501291,-8.172,-43.667,-13.94
15,1436464501310,-8.172,-43.667,-13.94
16,1436464501330,-8.172,-43.667,-13.94
17,1436464501350,-8.172,-43.667,-13.94
18,1436464501369,-8.172,-43.667,-13.94
19,1436464501389,-8.48,-43.667,-13.94
20,1436464501410,-8.48,-43.667,-13.94
21,1436464501429,-8.48,-43.667,-13.94
22,1436464501450,-8.48,-43.667,-13.566
23,1436464501469,-8.813,-43.667,-13.566
24,1436464501491,-8.813,-43.667,-13.566
25,1436464501511,-8.813,-43.667,-13.566
26,1436464501531,-8.813,-43.667,-13.246
27,1436464501551,-9.167,-43.667,-13.246
28,1436464501568,-9.167,-43.667,-13.246
29,1436464501590,-9.167,-43.667,-13.246
30,1436464501609,-9.167,-43.667,-12.87
31,1436464501720,-9.506,-43.667,-12.87
32,1436464501721,-9.506,-43.667,-12.87
33,1436464501722,-9.506,-43.667,-12.87
34,1436464501723,-9.506,-43.667,-12.544
35,1436464501724,-9.506,-43.667,-12.544
36,1436464501739,-9.854,-43.667,-12.544
37,1436464501750,-9.854,-43.667,-12.544
38,1436464501770,-9.854,-43.667,-12.229
39,1436464501788,-9.854,-43.667,-12.229
40,1436464501811,-9.854,-43.667,-12.229
41,1436464501828,-10.168,-43.667,-12.229
42,1436464501851,-10.168,-43.667,-12.229
43,1436464501869,-10.168,-43.667,-11.927
44,1436464501892,-10.168,-43.667,-11.927
45,1436464501911,-10.168,-43.667,-11.927
46,1436464501931,-10.168,-43.667,-11.927
47,1436464501951,-10.168,-43.667,-11.927
48,1436464501968,-10.168,-43.667,-11.927
49,1436464501992,-10.168,-43.667,-11.927
50,1436464502011,-10.168,-43.667,-11.927
51,1436464502031,-10.168,-43.667,-11.927
52,1436464502051,-10.168,-43.667,-11.927
53,1436464502068,-10.168,-43.667,-11.927
54,1436464502093,-10.168,-43.667,-11.927
55,1436464502108,-10.168,-43.667,-11.927
56,1436464502131,-10.168,-43.667,-11.927
57,1436464502151,-10.168,-43.667,-11.927
58,1436464502172,-10.168,-43.667,-11.927
59,1436464502192,-10.168,-43.667,-11.927
60,1436464502211,-10.168,-43.667,-11.927
61,1436464502231,-9.84,-43.667,-11.927
62,1436464502251,-9.84,-43.969,-11.927
63,1436464502271,-9.84,-43.969,-11.927
64,1436464502292,-9.84,-43.969,-11.927
65,1436464502311,-9.84,-43.969,-11.927
66,1436464502356,-9.526,-43.969,-11.927
67,1436464502357,-9.526,-43.969,-11.927
68,1436464502372,-9.526,-43.969,-11.927
69,1436464502423,-9.526,-43.969,-11.927
70,1436464502424,-9.526,-43.969,-11.927
71,1436464502438,-9.526,-43.969,-11.927
72,1436464502450,-9.526,-43.969,-11.927
73,1436464502471,-9.526,-43.969,-11.927
74,1436464502490,-9.526,-43.969,-11.927
75,1436464502509,-9.526,-43.969,-11.927
76,1436464502539,-9.526,-43.969,-11.927
77,1436464502566,-9.526,-43.969,-11.927
78,1436464502572,-9.526,-43.969,-11.927
79,1436464502599,-9.526,-43.969,-11.927
80,1436464502608,-9.526,-43.969,-11.927
81,1436464502630,-9.526,-43.969,-11.927
82,1436464502649,-9.526,-43.969,-11.927
83,1436464502670,-9.526,-43.969,-11.927
84,1436464502696,-9.526,-43.969,-11.927
85,1436464502711,-9.526,-43.969,-11.927
86,1436464502742,-9.526,-43.969,-11.927
87,1436464502756,-9.526,-43.969,-11.927
88,1436464502853,-9.526,-43.969,-11.57
89,1436464502854,-9.526,-43.969,-11.57
90,1436464502855,-9.526,-43.969,-11.57
91,1436464502856,-9.526,-43.969,-11.57
92,1436464502857,-9.526,-43.969,-11.218
93,1436464502868,-9.526,-43.969,-11.218
94,1436464502888,-9.526,-43.969,-11.218
95,1436464502908,-9.526,-43.969,-10.899
96,1436464502930,-9.526,-43.969,-10.899
97,1436464502950,-9.526,-43.969,-10.899
98,1436464502970,-9.863,-43.969,-10.899
99,1436464502989,-9.863,-43.969,-10.592
100,1436464503015,-9.863,-43.969,-10.592
101,1436464503036,-9.863,-43.969,-10.592
102,1436464503056,-9.863,-43.969,-10.292
103,1436464503069,-10.223,-43.969,-10.292
104,1436464503093,-10.223,-43.969,-10.292
105,1436464503179,-10.223,-43.969,-9.936
106,1436464503180,-10.223,-43.969,-9.936
107,1436464503181,-10.223,-43.969,-9.936
108,1436464503182,-10.585,-43.969,-9.619
109,1436464503200,-10.585,-43.969,-9.619
110,1436464503213,-10.585,-43.969,-9.619
111,1436464503228,-10.585,-43.969,-9.301
112,1436464503248,-10.585,-43.969,-9.301
113,1436464503268,-10.951,-43.969,-9.301
114,1436464503289,-10.951,-43.969,-9.301
115,1436464503309,-10.951,-43.969,-8.987
116,1436464503332,-10.951,-43.969,-8.987
117,1436464503352,-10.951,-43.969,-8.987
118,1436464503369,-11.265,-43.969,-8.633
119,1436464503392,-11.265,-43.969,-8.633
120,1436464503409,-11.265,-43.969,-8.633
121,1436464503432,-11.265,-43.969,-8.633
122,1436464503453,-11.584,-43.969,-8.633
123,1436464503471,-11.584,-43.969,-8.296
124,1436464503492,-11.584,-43.969,-8.296
125,1436464503509,-11.584,-43.969,-8.296
126,1436464503528,-11.903,-43.969,-8.296
127,1436464503552,-11.903,-43.969,-8.296
128,1436464503571,-11.903,-43.969,-7.949
129,1436464503592,-11.903,-43.969,-7.949
130,1436464503610,-12.217,-43.969,-7.949
131,1436464503630,-12.217,-43.969,-7.949
132,1436464503649,-12.217,-43.969,-7.949
133,1436464503670,-12.217,-43.969,-7.601
134,1436464503692,-12.539,-43.969,-7.601
135,1436464503711,-12.539,-43.969,-7.601
136,1436464503732,-12.539,-43.969,-7.601
137,1436464503751,-12.539,-43.644,-7.286
138,1436464503776,-12.881,-43.644,-7.286
139,1436464503841,-12.881,-43.644,-7.286
140,1436464503842,-12.881,-43.644,-7.286
141,1436464503843,-12.881,-43.644,-7.286
142,1436464503852,-13.211,-43.644,-6.935
143,1436464503869,-13.211,-43.644,-6.935
144,1436464503893,-13.211,-43.644,-6.935
145,1436464503910,-13.211,-43.644,-6.935
146,1436464503929,-13.211,-43.644,-6.935
147,1436464503950,-13.572,-43.644,-6.935
148,1436464503969,-13.572,-43.644,-6.935
149,1436464503991,-13.572,-43.644,-6.597
150,1436464504018,-13.572,-43.644,-6.597
151,1436464504031,-13.572,-43.644,-6.597
152,1436464504052,-13.885,-43.644,-6.597
153,1436464504073,-13.885,-43.644,-6.597
154,1436464504093,-13.885,-43.644,-6.597
155,1436464504113,-13.885,-43.644,-6.597
156,1436464504132,-13.885,-43.644,-6.597
157,1436464504153,-13.885,-43.644,-6.597
158,1436464504173,-14.195,-43.644,-6.597
159,1436464504193,-14.195,-43.644,-6.953
160,1436464504213,-14.195,-43.644,-6.953
161,1436464504232,-14.195,-43.644,-6.953
162,1436464504250,-14.195,-43.644,-7.394
163,1436464504273,-14.195,-43.644,-8.068
164,1436464504293,-14.195,-43.644,-8.447
165,1436464504313,-14.195,-43.644,-9.265
166,1436464504331,-14.195,-43.644,-9.265
167,1436464504352,-14.195,-43.644,-10.14
168,1436464504373,-13.874,-43.644,-10.441
169,1436464504393,-13.874,-43.644,-11.268
170,1436464504413,-13.874,-43.293,-11.59
171,1436464504430,-13.874,-43.293,-12.335
172,1436464504452,-13.459,-43.293,-13.15
173,1436464504471,-13.459,-43.293,-13.15
174,1436464504492,-13.459,-43.293,-13.861
175,1436464504510,-13.02,-43.293,-14.694
176,1436464504531,-13.02,-42.91,-15.425
177,1436464504582,-13.02,-42.91,-15.928
178,1436464504583,-12.554,-42.91,-16.516
179,1436464504601,-12.554,-42.91,-17.622
180,1436464504610,-12.213,-42.518,-18.333
181,1436464504631,-12.213,-42.518,-18.887
182,1436464504652,-11.853,-42.518,-19.294
183,1436464504670,-11.853,-42.141,-20.082
184,1436464504690,-11.419,-42.141,-20.738
185,1436464504712,-10.858,-42.141,-20.738
186,1436464504734,-10.331,-41.708,-21.748
187,1436464504752,-10.331,-41.708,-21.748
188,1436464504771,-9.693,-41.404,-21.408
189,1436464504792,-9.693,-41.404,-21.408
190,1436464504812,-9.693,-41.404,-21.408
191,1436464504834,-9.693,-41.072,-21.073
192,1436464504852,-9.693,-41.072,-20.35
193,1436464504874,-9.693,-41.072,-20.812
194,1436464504894,-9.693,-41.072,-20.399
195,1436464504914,-9.693,-41.072,-19.898
196,1436464504934,-9.303,-41.072,-19.898
197,1436464504952,-9.303,-41.072,-20.32
198,1436464504974,-9.303,-41.072,-20.635
199,1436464504992,-9.303,-41.072,-20.635
200,1436464505011,-9.303,-41.072,-20.635
201,1436464505034,-9.303,-41.072,-20.635
202,1436464505051,-9.303,-41.072,-20.635
203,1436464505072,-9.303,-41.072,-20.635
204,1436464505092,-9.303,-41.072,-20.635
205,1436464505114,-9.303,-41.072,-20.635
206,1436464505134,-9.303,-41.072,-20.324
207,1436464505154,-9.303,-41.072,-20.324
208,1436464505172,-9.675,-41.072,-20.324
209,1436464505193,-9.675,-41.072,-20.324
210,1436464505211,-9.675,-41.072,-20.324
211,1436464505232,-9.991,-41.072,-20.324
212,1436464505252,-9.991,-41.072,-20.324
213,1436464505271,-9.991,-41.072,-20.324
214,1436464505315,-9.991,-41.072,-20.324
215,1436464505316,-9.991,-41.072,-20.324
216,1436464505340,-10.307,-41.072,-20.324
217,1436464505351,-10.307,-41.072,-20.324
218,1436464505374,-10.307,-41.072,-20.324
219,1436464505392,-10.307,-41.072,-20.324
220,1436464505411,-10.307,-41.072,-20.324
221,1436464505432,-10.307,-41.072,-20.324
222,1436464505451,-10.307,-41.072,-20.324
223,1436464505473,-10.307,-41.072,-20.324
224,1436464505492,-10.307,-41.072,-20.324
225,1436464505514,-10.307,-41.072,-20.324
226,1436464505532,-10.307,-41.072,-20.324
227,1436464505552,-10.307,-41.072,-20.324
228,1436464505573,-10.307,-41.072,-20.019
229,1436464505594,-10.307,-41.072,-20.019
230,1436464505614,-9.913,-41.072,-20.019
231,1436464505634,-9.913,-41.072,-20.019
232,1436464505652,-9.913,-41.072,-20.019
233,1436464505672,-9.533,-41.072,-20.019
234,1436464505694,-9.533,-41.374,-20.019
235,1436464505712,-9.533,-41.374,-20.019
236,1436464505732,-9.048,-41.374,-20.019
237,1436464505754,-9.048,-41.374,-20.019
238,1436464505772,-8.483,-41.374,-20.019
239,1436464505795,-8.143,-41.374,-20.019
240,1436464505811,-7.71,-41.374,-20.433
241,1436464505832,-7.71,-41.374,-20.433
242,1436464505856,-7.139,-41.374,-20.433
243,1436464505873,-6.729,-41.374,-20.779
244,1436464505895,-6.376,-41.374,-20.779
245,1436464505915,-6.022,-41.374,-20.779
246,1436464505932,-6.022,-41.374,-21.141
247,1436464505953,-5.577,-41.374,-21.141
248,1436464505971,-5.577,-41.374,-21.141
249,1436464505992,-5.577,-41.374,-21.501
250,1436464506039,-5.577,-41.374,-21.501
251,1436464506040,-5.245,-41.374,-21.501
252,1436464506062,-5.245,-41.374,-21.813
253,1436464506071,-5.245,-41.374,-21.813
254,1436464506095,-5.245,-41.374,-21.813
255,1436464506112,-4.824,-41.374,-21.813
256,1436464506132,-4.824,-41.374,-22.137
257,1436464506154,-4.51,-41.374,-22.137
258,1436464506172,-4.51,-41.374,-22.137
259,1436464506194,-4.51,-41.374,-22.137
260,1436464506220,-4.089,-41.374,-22.137
261,1436464506233,-4.089,-41.374,-22.137
262,1436464506252,-4.089,-41.374,-22.137
263,1436464506273,-3.747,-41.374,-22.474
264,1436464506293,-3.747,-41.374,-22.474
265,1436464506315,-3.747,-41.374,-22.474
266,1436464506335,-3.747,-41.374,-22.474
267,1436464506355,-3.747,-41.374,-22.474
268,1436464506374,-3.747,-41.374,-22.474
269,1436464506393,-3.747,-41.374,-22.474
270,1436464506415,-3.747,-41.374,-22.474
271,1436464506433,-3.747,-41.374,-22.474
272,1436464506453,-3.747,-41.374,-22.474
273,1436464506472,-3.747,-41.374,-22.474
274,1436464506493,-3.443,-41.374,-22.474
275,1436464506515,-3.443,-41.374,-22.474
276,1436464506533,-3.443,-41.374,-22.474
277,1436464506555,-3.443,-41.374,-22.474
278,1436464506573,-3.443,-41.374,-22.474
279,1436464506592,-3.443,-41.374,-22.474
280,1436464506613,-3.443,-41.374,-22.474
281,1436464506635,-3.443,-41.374,-22.474
282,1436464506653,-3.443,-41.374,-22.474
283,1436464506674,-3.443,-41.374,-22.474
284,1436464506694,-3.443,-41.374,-22.474
285,1436464506718,-3.443,-41.374,-22.474
286,1436464506767,-3.767,-41.374,-22.474
287,1436464506768,-3.767,-41.374,-22.474
288,1436464506772,-3.767,-41.374,-22.474
289,1436464506792,-3.767,-41.374,-22.474
290,1436464506815,-3.767,-41.374,-22.474
291,1436464506835,-3.767,-41.374,-22.474
292,1436464506852,-4.092,-41.374,-22.152
293,1436464506872,-4.092,-41.374,-22.152
294,1436464506893,-4.092,-41.374,-22.152
295,1436464506916,-4.092,-41.374,-22.152
296,1436464506933,-4.092,-41.374,-22.152
297,1436464506953,-4.092,-41.374,-22.152
298,1436464506974,-4.396,-41.374,-22.152
299,1436464506995,-4.396,-41.374,-22.152
300,1436464507016,-4.396,-41.374,-22.152
301,1436464507033,-4.396,-41.374,-22.152
302,1436464507056,-4.396,-41.374,-22.152
303,1436464507076,-4.396,-41.374,-22.152
304,1436464507095,-4.396,-41.374,-22.152
305,1436464507116,-4.396,-41.374,-22.152
306,1436464507136,-4.396,-41.374,-22.152
307,1436464507154,-4.396,-41.374,-22.152
308,1436464507176,-4.396,-41.374,-22.152
309,1436464507196,-4.396,-41.374,-22.152
310,1436464507215,-4.396,-41.374,-22.152
311,1436464507238,-4.396,-41.374,-22.152
312,1436464507257,-4.396,-41.374,-22.152
313,1436464507277,-4.396,-41.374,-22.152
314,1436464507294,-4.396,-41.374,-22.152
315,1436464507313,-4.396,-41.374,-22.152
316,1436464507334,-4.396,-41.374,-22.462
317,1436464507353,-4.396,-41.374,-22.462
318,1436464507377,-4.396,-41.374,-22.462
319,1436464507399,-4.396,-41.374,-22.462
320,1436464507418,-4.396,-41.374,-22.462
321,1436464507436,-4.396,-41.374,-22.462
