id,attr_time,attr_lat,attr_lng
1,1436548936000,49.47817102,8.46366092
2,1436548945000,49.47810526,8.46376553
3,1436548955000,49.47804644,8.46381759
4,1436548966000,49.47804525,8.46378793
5,1436548975000,49.47805127,8.46377106
6,1436548985000,49.47805454,8.46376531
7,1436548995000,49.47804676,8.46376258
8,1436549006000,49.4780372,8.46375057
9,1436549015000,49.47803743,8.46374436
10,1436549026000,49.47804422,8.46373655
11,1436549037000,49.47805634,8.4637305
12,1436549047000,49.47806113,8.46371997
13,1436549057000,49.47805716,8.46371755
14,1436549067000,49.47805201,8.46371773
15,1436549077000,49.47805238,8.46371321
16,1436549087000,49.4780546,8.46370967
17,1436549098000,49.47805305,8.46370711
18,1436549110000,49.47805647,8.46369574
19,1436549119000,49.47806159,8.46368636
20,1436549129000,49.47806965,8.46367905
21,1436549139000,49.47807363,8.46367186
22,1436549149000,49.47807441,8.46366854
23,1436549160000,49.47807258,8.46366818
24,1436549169000,49.47807255,8.46366598
25,1436549180000,49.4780714,8.46366398
26,1436549191000,49.4780699,8.4636616
27,1436549200000,49.47806881,8.46366044
28,1436549210000,49.47806779,8.4636611
29,1436549221000,49.47806664,8.46365892
30,1436549231000,49.47806606,8.46365834
31,1436549241000,49.47806384,8.46365683
32,1436549251000,49.47806435,8.46365512
33,1436549261000,49.47806537,8.4636546
34,1436549272000,49.47806624,8.46365387
35,1436549283000,49.47806998,8.46364816
36,1436549292000,49.47807457,8.46364125
37,1436549303000,49.47807525,8.46363961
38,1436549314000,49.47807534,8.46363582
39,1436549323000,49.4780749,8.46363254
40,1436549333000,49.47807363,8.46363151
41,1436549344000,49.47807524,8.46363117
42,1436549354000,49.47807572,8.46363108
43,1436549364000,49.47807565,8.46363066
44,1436549374000,49.47807582,8.46362981
45,1436549385000,49.47807636,8.46362749
46,1436549395000,49.47807865,8.46362263
47,1436549405000,49.47807951,8.4636202
48,1436549415000,49.47807982,8.46361766
49,1436549426000,49.47808077,8.4636159
50,1436549436000,49.47808405,8.46361757
51,1436549446000,49.47808865,8.46362144
52,1436549456000,49.47809305,8.4636251
53,1436549466000,49.47809469,8.46362709
54,1436549477000,49.47809493,8.46362744
55,1436549487000,49.47809458,8.46362558
56,1436549497000,49.47809399,8.46362424
57,1436549508000,49.47809237,8.46362351
58,1436549517000,49.47809183,8.46362348
59,1436549528000,49.47809186,8.46362285
60,1436549539000,49.47809235,8.46362314
61,1436549548000,49.47809265,8.4636235
62,1436549559000,49.47809351,8.46362199
63,1436549569000,49.47809418,8.46362032
64,1436549580000,49.47809445,8.46361986
