id,attr_time,attr_x,attr_y,attr_z
1,1436548932024,-45.523,18.006,3.86
2,1436548932046,-45.523,18.006,3.86
3,1436548932068,-45.523,18.006,3.86
4,1436548932086,-45.523,18.006,3.86
5,1436548932106,-45.523,18.006,3.86
6,1436548932127,-45.523,18.006,3.86
7,1436548932147,-45.523,18.006,3.86
8,1436548932167,-45.523,18.006,3.86
9,1436548932188,-45.523,18.006,3.86
10,1436548932208,-45.523,18.006,3.86
11,1436548932227,-45.523,18.006,3.86
12,1436548932245,-45.523,18.006,3.86
13,1436548932268,-45.523,18.006,3.86
14,1436548932285,-45.523,18.006,3.86
15,1436548932306,-45.523,18.006,3.86
16,1436548932325,-45.523,18.006,3.86
17,1436548932345,-45.523,18.006,3.86
18,1436548932369,-45.523,18.006,3.558
19,1436548932390,-45.523,18.006,3.558
20,1436548932407,-45.523,18.006,3.558
21,1436548932425,-45.523,18.006,3.558
22,1436548932446,-45.523,18.006,3.558
23,1436548932464,-45.523,18.006,3.558
24,1436548932485,-45.523,18.006,3.558
25,1436548932505,-45.523,18.006,3.558
26,1436548932540,-45.523,18.006,3.558
27,1436548932554,-45.523,18.006,3.558
28,1436548932565,-45.523,18.006,3.558
29,1436548932585,-45.523,18.006,3.558
30,1436548932605,-45.523,18.006,3.558
31,1436548932625,-45.523,18.006,3.558
32,1436548932645,-45.523,18.006,3.558
33,1436548932687,-45.523,18.006,3.558
34,1436548932688,-45.523,18.006,3.558
35,1436548932705,-45.523,18.006,3.558
36,1436548932725,-45.523,18.006,3.558
37,1436548932746,-45.523,18.006,3.558
38,1436548932767,-45.523,18.006,3.558
39,1436548932788,-45.523,18.006,3.558
40,1436548932805,-45.523,18.006,3.558
41,1436548932828,-45.523,18.006,3.558
42,1436548932846,-45.523,18.006,3.558
43,1436548932868,-45.523,18.006,3.558
44,1436548932885,-45.523,18.006,3.558
45,1436548932906,-45.523,18.006,3.558
46,1436548932927,-45.523,18.006,3.558
47,1436548932948,-45.523,18.006,3.558
48,1436548932966,-45.523,18.006,3.558
49,1436548932993,-45.523,18.006,3.222
50,1436548933006,-45.523,17.698,3.222
51,1436548933027,-45.523,17.698,3.222
52,1436548933050,-45.523,17.698,3.222
53,1436548933067,-45.523,17.698,3.222
54,1436548933085,-45.523,17.698,3.222
55,1436548933107,-45.523,17.698,3.222
56,1436548933126,-45.523,17.698,3.222
57,1436548933152,-45.523,17.698,2.919
58,1436548933166,-45.523,17.698,2.919
59,1436548933187,-45.523,17.698,2.919
60,1436548933206,-45.523,17.698,2.919
61,1436548933232,-45.523,17.698,2.919
62,1436548933292,-45.523,17.698,2.919
63,1436548933293,-45.523,17.698,2.919
64,1436548933294,-45.523,17.698,2.919
65,1436548933315,-45.523,17.698,2.919
66,1436548933325,-45.523,17.698,2.919
67,1436548933349,-45.523,17.698,2.919
68,1436548933366,-45.523,17.698,2.919
69,1436548933386,-45.523,17.698,2.919
70,1436548933406,-45.523,17.698,2.919
71,1436548933427,-45.523,17.698,2.919
72,1436548933447,-45.523,17.698,2.919
73,1436548933469,-45.523,17.698,2.919
74,1436548933486,-45.523,17.698,2.919
75,1436548933507,-45.523,17.698,2.919
76,1436548933529,-45.523,17.698,2.61
77,1436548933549,-45.523,17.698,2.61
78,1436548933569,-45.523,17.698,2.61
79,1436548933587,-45.523,17.698,2.61
80,1436548933608,-45.523,17.698,2.61
81,1436548933629,-45.523,17.698,2.61
82,1436548933649,-45.523,17.698,2.61
83,1436548933669,-45.523,17.698,2.61
84,1436548933687,-45.523,17.698,2.61
85,1436548933707,-45.523,17.698,2.61
86,1436548933729,-45.523,17.698,2.61
87,1436548933749,-45.523,17.698,2.61
88,1436548933770,-45.523,17.698,2.61
89,1436548933789,-45.523,17.698,2.61
90,1436548933806,-45.523,17.698,2.301
91,1436548933828,-45.523,17.698,2.301
92,1436548933847,-45.523,17.698,2.301
93,1436548933869,-45.523,17.698,2.301
94,1436548933886,-45.523,17.698,2.301
95,1436548933907,-45.523,17.698,2.301
96,1436548933926,-45.523,17.698,2.301
97,1436548933948,-45.523,17.698,2.301
98,1436548933977,-45.523,17.698,2.301
99,1436548933987,-45.523,17.698,2.301
100,1436548934037,-45.523,17.698,2.301
101,1436548934039,-45.523,17.698,2.301
102,1436548934046,-45.523,17.698,2.301
103,1436548934066,-45.523,17.698,2.301
104,1436548934094,-45.523,17.698,2.301
105,1436548934107,-45.523,17.698,2.301
106,1436548934128,-45.523,17.698,2.301
107,1436548934148,-45.523,17.698,2.301
108,1436548934167,-45.523,17.698,2.301
109,1436548934187,-45.523,17.698,2.301
110,1436548934207,-45.523,17.698,2.301
111,1436548934229,-45.523,17.698,2.301
112,1436548934247,-45.523,17.698,2.301
