id,attr_time,attr_lat,attr_lng
1,1436543308000,49.47781233,8.46392585
2,1436543318000,49.47780282,8.46392081
3,1436543328000,49.4777996,8.46391299
4,1436543338000,49.47779184,8.46390809
5,1436543349000,49.47777542,8.4639153
6,1436543369000,49.47728891,8.46439522
7,1436543379000,49.47711927,8.46468798
8,1436543389000,49.4772231,8.46496168
9,1436543400000,49.47728133,8.46511439
10,1436543411000,49.47724576,8.46545076
11,1436543420000,49.47742443,8.46555633
12,1436543431000,49.4775496,8.46547006
13,1436543441000,49.47781961,8.46507904
14,1436543450000,49.47785501,8.46504215
15,1436543461000,49.47785986,8.46470944
16,1436543471000,49.47779217,8.46414936
17,1436543481000,49.47786214,8.4638424
18,1436543492000,49.47784738,8.46370392
19,1436543502000,49.47768927,8.46356646
20,1436543512000,49.47754947,8.46356152
21,1436543523000,49.47717146,8.46369859
22,1436543533000,49.47714131,8.46384471
23,1436543543000,49.47721186,8.464404
24,1436543553000,49.4771873,8.4645255
25,1436543563000,49.47725052,8.46505227
26,1436543575000,49.47722291,8.46523673
27,1436543584000,49.47721915,8.46538299
28,1436543595000,49.47740211,8.46553909
29,1436543605000,49.47753986,8.46551268
30,1436543616000,49.47769845,8.46535547
31,1436543625000,49.47779225,8.46490419
32,1436543636000,49.47779552,8.46441467
33,1436543646000,49.47789546,8.46430772
34,1436543655000,49.47783848,8.46391737
35,1436543666000,49.47753986,8.46355555
36,1436543676000,49.47757304,8.46359276
37,1436543686000,49.47745209,8.46352385
38,1436543696000,49.47713527,8.46376853
39,1436543707000,49.47717848,8.46404833
40,1436543717000,49.47720896,8.46421865
41,1436543728000,49.47723635,8.46423759
42,1436543738000,49.4772507,8.46427598
43,1436543748000,49.47725683,8.46428443
44,1436543758000,49.47725611,8.46428876
45,1436543768000,49.47725993,8.46427311
46,1436543779000,49.47726477,8.4642837
47,1436543789000,49.47723393,8.46508633
48,1436543809000,49.4772792,8.46561102
49,1436543820000,49.47741189,8.46556169
50,1436543831000,49.47770389,8.46536981
51,1436543840000,49.47790828,8.46517465
52,1436543851000,49.47802417,8.46486868
53,1436543861000,49.4779527,8.46446771
54,1436543871000,49.47781713,8.46406552
55,1436543881000,49.47774908,8.46369657
56,1436543891000,49.47756817,8.46348245
57,1436543901000,49.47740582,8.46346725
58,1436543912000,49.47714401,8.4639807
59,1436543921000,49.47719908,8.46430343
60,1436543932000,49.47727782,8.46466009
61,1436543942000,49.47727817,8.46466905
62,1436543952000,49.47725645,8.46469014
63,1436543963000,49.47730657,8.46491651
64,1436543974000,49.47751081,8.46533187
65,1436543983000,49.47771594,8.46536941
66,1436543994000,49.47781861,8.46487896
67,1436544003000,49.47773866,8.46469078
68,1436544014000,49.47774138,8.46394818
69,1436544024000,49.47790316,8.46395731
70,1436544035000,49.47788342,8.46382919
