id,attr_time,attr_x,attr_y,attr_z
1,1436543307033,39.2059,-6.25458,-25.8698
2,1436543307052,39.2059,-6.25458,-25.8698
3,1436543307074,37.9791,-5.72662,-26.0376
4,1436543307092,37.8052,-5.2002,-24.8611
5,1436543307111,37.8052,-5.2002,-24.8611
6,1436543307132,38.5056,-5.55115,-25.8698
7,1436543307150,37.6297,-5.37567,-24.6933
8,1436543307171,37.6297,-5.37567,-24.6933
9,1436543307190,39.2059,-4.84772,-26.2054
10,1436543307211,37.8052,-5.55115,-26.2054
11,1436543307231,37.8052,-5.55115,-26.2054
12,1436543307248,39.0305,-5.72662,-26.0376
13,1436543307270,39.2059,-6.25458,-25.8698
14,1436543307289,39.2059,-6.25458,-25.8698
15,1436543307309,39.5569,-5.55115,-25.8698
16,1436543307330,39.0305,-5.72662,-24.6933
17,1436543307349,39.0305,-5.72662,-24.6933
18,1436543307371,39.7308,-6.0791,-26.0376
19,1436543307389,39.0305,-5.72662,-24.6933
20,1436543307408,39.0305,-5.72662,-24.6933
21,1436543307428,39.5569,-5.55115,-24.8611
22,1436543307448,38.855,-4.14429,-24.5239
23,1436543307469,38.855,-4.14429,-24.5239
24,1436543307487,40.0818,-5.72662,-23.6832
25,1436543307508,38.681,-3.96881,-25.3647
26,1436543307527,38.681,-3.96881,-25.3647
27,1436543307547,40.0818,-6.0791,-25.3647
28,1436543307565,37.8052,-6.25458,-25.1968
29,1436543307586,37.8052,-6.25458,-25.1968
30,1436543307605,39.0305,-4.32129,-25.7019
31,1436543307626,37.9791,-3.96881,-25.7019
32,1436543307645,37.9791,-3.96881,-25.7019
33,1436543307665,39.0305,-4.67224,-25.029
34,1436543307686,38.1546,-4.84772,-26.5427
35,1436543307705,38.1546,-4.84772,-26.5427
36,1436543307725,37.8052,-4.84772,-25.8698
37,1436543307747,39.3814,-5.37567,-26.7105
38,1436543307764,39.3814,-5.37567,-26.7105
39,1436543307783,38.5056,-4.49676,-26.5427
40,1436543307805,38.855,-6.25458,-25.5341
41,1436543307824,38.855,-6.25458,-25.5341
42,1436543307846,39.9063,-5.55115,-25.5341
43,1436543307864,39.0305,-5.02319,-25.3647
44,1436543307882,39.0305,-5.02319,-25.3647
45,1436543307902,37.6297,-3.96881,-25.029
46,1436543307922,38.681,-5.02319,-24.6933
47,1436543307942,38.681,-5.02319,-24.6933
48,1436543307962,38.5056,-4.49676,-24.8611
49,1436543307982,38.681,-5.72662,-25.3647
50,1436543308001,38.681,-5.72662,-25.3647
51,1436543308021,38.3301,-6.43005,-26.0376
52,1436543308044,38.3301,-5.02319,-27.0477
53,1436543308059,38.3301,-5.02319,-27.0477
54,1436543308081,39.7308,-5.02319,-26.0376
55,1436543308100,40.2573,-6.60553,-24.8611
56,1436543308120,40.2573,-6.60553,-24.8611
57,1436543308143,38.3301,-5.37567,-25.029
58,1436543308160,38.681,-5.37567,-25.7019
59,1436543308180,38.681,-5.37567,-25.7019
60,1436543308199,39.2059,-4.49676,-25.5341
61,1436543308220,39.0305,-6.43005,-26.0376
62,1436543308239,39.0305,-6.43005,-26.0376
63,1436543308258,38.5056,-5.55115,-25.1968
64,1436543308279,39.0305,-6.43005,-26.0376
65,1436543308299,39.0305,-6.43005,-26.0376
66,1436543308318,39.2059,-5.55115,-24.5239
67,1436543308339,37.9791,-5.37567,-24.6933
68,1436543308358,37.9791,-5.37567,-24.6933
69,1436543308376,38.3301,-4.67224,-24.6933
70,1436543308398,39.5569,-6.25458,-24.5239
71,1436543308416,39.5569,-6.25458,-24.5239
72,1436543308437,38.855,-5.2002,-24.5239
73,1436543308457,38.1546,-5.2002,-26.2054
74,1436543308474,38.1546,-5.2002,-26.2054
75,1436543308497,38.681,-4.32129,-24.3561
76,1436543308515,38.3301,-6.43005,-23.6832
77,1436543308538,38.3301,-6.43005,-23.6832
78,1436543308556,39.5569,-4.49676,-25.8698
79,1436543308576,39.3814,-3.26538,-24.0204
80,1436543308595,39.3814,-3.26538,-24.0204
81,1436543308615,38.855,-5.55115,-25.5341
82,1436543308638,37.4542,-5.9021,-23.1796
83,1436543308655,37.4542,-5.9021,-23.1796
84,1436543308674,38.1546,-4.84772,-25.5341
85,1436543308693,38.3301,-5.72662,-25.3647
86,1436543308714,38.3301,-5.72662,-25.3647
87,1436543308733,37.9791,-3.96881,-26.3748
88,1436543308754,38.1546,-5.2002,-25.1968
89,1436543308773,38.1546,-5.2002,-25.1968
90,1436543308793,39.7308,-5.72662,-25.7019
91,1436543308813,38.1546,-5.55115,-24.5239
92,1436543308833,38.1546,-5.55115,-24.5239
93,1436543308852,38.681,-5.37567,-26.7105
94,1436543308873,39.2059,-5.2002,-25.5341
95,1436543308892,39.2059,-5.2002,-25.5341
96,1436543308911,39.0305,-4.67224,-25.029
97,1436543308931,38.5056,-4.14429,-25.1968
98,1436543308951,38.5056,-4.14429,-25.1968
99,1436543308974,39.5569,-5.9021,-25.8698
100,1436543308991,38.681,-5.37567,-25.3647
101,1436543309009,38.681,-5.37567,-25.3647
102,1436543309031,39.3814,-5.02319,-25.029
103,1436543309050,38.681,-5.02319,-27.7191
104,1436543309072,38.681,-5.02319,-27.7191
105,1436543309090,38.855,-5.55115,-25.8698
106,1436543309110,38.681,-4.67224,-25.3647
107,1436543309130,38.681,-4.67224,-25.3647
108,1436543309149,38.1546,-4.49676,-24.8611
109,1436543309172,39.7308,-5.72662,-26.7105
110,1436543309188,39.7308,-5.72662,-26.7105
111,1436543309209,38.5056,-5.55115,-24.5239
112,1436543309227,40.0818,-6.0791,-25.029
113,1436543309248,40.0818,-6.0791,-25.029
114,1436543309267,39.0305,-5.02319,-26.7105
115,1436543309288,39.3814,-3.96881,-25.3647
116,1436543309307,39.3814,-3.96881,-25.3647
117,1436543309326,39.3814,-5.72662,-26.3748
118,1436543309347,39.7308,-5.37567,-23.6832
119,1436543309368,39.7308,-5.37567,-23.6832
120,1436543309387,38.855,-5.9021,-27.8885
121,1436543309407,39.0305,-6.0791,-25.029
122,1436543309426,39.0305,-6.0791,-25.029
123,1436543309446,40.0818,-4.67224,-25.7019
124,1436543309468,38.681,-4.67224,-25.7019
125,1436543309485,38.681,-4.67224,-25.7019
126,1436543309505,38.681,-4.67224,-25.029
127,1436543309526,38.681,-5.02319,-25.7019
128,1436543309544,38.681,-5.02319,-25.7019
129,1436543309567,38.1546,-5.9021,-24.1882
130,1436543309585,37.9791,-5.02319,-25.7019
131,1436543309603,37.9791,-5.02319,-25.7019
132,1436543309624,39.0305,-5.72662,-24.0204
133,1436543309643,37.2787,-5.72662,-25.7019
134,1436543309666,37.2787,-5.72662,-25.7019
135,1436543309683,38.3301,-5.37567,-25.7019
136,1436543309703,38.5056,-6.25458,-25.5341
137,1436543309723,38.5056,-6.25458,-25.5341
138,1436543309743,39.5569,-5.55115,-24.8611
139,1436543309763,38.681,-5.72662,-26.3748
140,1436543309782,38.681,-5.72662,-26.3748
141,1436543309802,38.855,-4.84772,-25.1968
142,1436543309822,37.9791,-5.37567,-25.3647
143,1436543309841,37.9791,-5.37567,-25.3647
144,1436543309861,38.5056,-4.14429,-25.5341
145,1436543309881,38.681,-4.67224,-26.3748
146,1436543309900,38.681,-4.67224,-26.3748
147,1436543309920,37.4542,-6.95801,-25.1968
148,1436543309941,39.7308,-5.37567,-25.3647
149,1436543309958,39.7308,-5.37567,-25.3647
150,1436543309980,39.0305,-5.37567,-26.7105
151,1436543310002,38.3301,-5.02319,-24.6933
152,1436543310020,38.3301,-5.02319,-24.6933
153,1436543310039,38.855,-4.84772,-24.5239
154,1436543310060,39.2059,-4.84772,-25.1968
155,1436543310079,39.2059,-4.84772,-25.1968
156,1436543310101,39.2059,-6.60553,-25.8698
157,1436543310119,38.855,-5.55115,-25.5341
158,1436543310138,38.855,-5.55115,-25.5341
159,1436543310158,37.9791,-4.67224,-24.3561
160,1436543310177,38.681,-7.13348,-25.029
161,1436543310197,38.681,-7.13348,-25.029
162,1436543310216,39.9063,-3.79333,-25.1968
163,1436543310238,38.855,-4.84772,-25.8698
164,1436543310256,38.855,-4.84772,-25.8698
165,1436543310275,37.4542,-5.2002,-25.1968
166,1436543310297,39.2059,-6.60553,-25.1968
167,1436543310315,39.2059,-6.60553,-25.1968
168,1436543310336,39.7308,-4.67224,-25.7019
169,1436543310356,38.1546,-4.49676,-23.8525
170,1436543310376,38.1546,-4.49676,-23.8525
171,1436543310396,38.3301,-4.32129,-24.3561
172,1436543310416,39.2059,-5.2002,-24.8611
173,1436543310435,39.2059,-5.2002,-24.8611
