id,attr_time,attr_lat,attr_lng
1,1436546592000,49.47792282,8.46324536
2,1436546602000,49.47792261,8.46324936
3,1436546614000,49.4779289,8.46325031
4,1436546623000,49.47794041,8.46325515
5,1436546633000,49.47794112,8.46325442
6,1436546642000,49.47794788,8.46325659
7,1436546654000,49.47795559,8.46326027
8,1436546664000,49.47795502,8.46327817
9,1436546674000,49.47795808,8.4632828
10,1436546685000,49.47795777,8.4632842
11,1436546696000,49.47795478,8.46330198
12,1436546715000,49.47795665,8.46330565
13,1436546725000,49.47796088,8.46329686
14,1436546736000,49.4779589,8.46330758
15,1436546747000,49.47796088,8.46329597
16,1436546757000,49.4779608,8.46329427
17,1436546766000,49.47796123,8.4632909
18,1436546776000,49.47796052,8.46329446
19,1436546787000,49.47796123,8.46329018
20,1436546798000,49.47796161,8.46328954
21,1436546808000,49.47796618,8.4632885
22,1436546817000,49.47796726,8.46328731
23,1436546828000,49.47796375,8.46328598
24,1436546838000,49.47796631,8.46328546
25,1436546849000,49.47796569,8.46329213
26,1436546859000,49.47797222,8.46329203
27,1436546870000,49.47796998,8.46329339
28,1436546880000,49.47796448,8.46329676
29,1436546889000,49.47796255,8.46329804
30,1436546898620,49.47804424,8.4632607
31,1436546912000,49.47796011,8.46329956
32,1436546919000,49.47796118,8.46330066
33,1436546930000,49.47796125,8.46330125
34,1436546941000,49.47795921,8.46330239
35,1436546951000,49.47795981,8.46330265
36,1436546962000,49.47796231,8.46330397
37,1436546971000,49.47795998,8.46330298
38,1436546981000,49.47796346,8.46330344
39,1436546990621,49.47814323,8.46334092
40,1436547002621,49.47794959,8.46339776
41,1436547011622,49.47811664,8.46335744
42,1436547021622,49.47819131,8.4633433
43,1436547031623,49.47804444,8.46362222
44,1436547042623,49.47818953,8.46330895
45,1436547054000,49.47796289,8.46330375
46,1436547063000,49.47796276,8.46330454
47,1436547074000,49.47796152,8.46330451
48,1436547085000,49.47796252,8.46329791
49,1436547095000,49.47796225,8.46329795
50,1436547104000,49.47796228,8.46329789
51,1436547114000,49.47796335,8.46329816
52,1436547125000,49.47796613,8.46329922
53,1436547136000,49.47796212,8.46329785
54,1436547146000,49.47796157,8.46329768
55,1436547156000,49.47796098,8.46329712
56,1436547167000,49.47796244,8.4632989
57,1436547176000,49.47796066,8.46330209
58,1436547186000,49.47795967,8.46330439
59,1436547196000,49.47796074,8.46330482
60,1436547206000,49.47796046,8.46330499
61,1436547217000,49.47796049,8.46330496
62,1436547226000,49.47795756,8.46330388
