id,attr_time,attr_lat,attr_lng
1,1436546589000,49.47793398,8.46332161
2,1436546600000,49.47793398,8.46332125
3,1436546610000,49.47793603,8.46332102
4,1436546621000,49.47793751,8.4633201
5,1436546630000,49.47793765,8.46331931
6,1436546641000,49.47793754,8.46331829
7,1436546652000,49.4779375,8.4633186
8,1436546660000,49.47793608,8.4633182
9,1436546671000,49.47793619,8.46331721
10,1436546681000,49.47793639,8.46331644
11,1436546693000,49.47793666,8.46331572
12,1436546703000,49.47793798,8.46331492
13,1436546712000,49.4779376,8.46331398
14,1436546722554,49.47791967,8.46320863
15,1436546732000,49.47793816,8.46331363
16,1436546743000,49.47793883,8.46331174
17,1436546753000,49.47793949,8.46331098
18,1436546763554,49.47795217,8.46335793
19,1436546774000,49.47793989,8.46331079
20,1436546783000,49.47793989,8.46331076
21,1436546794000,49.47793986,8.4633102
22,1436546803000,49.47794,8.46330902
23,1436546814000,49.47794028,8.46330878
24,1436546825000,49.47793995,8.46330703
25,1436546834554,49.47796909,8.46331384
26,1436546845000,49.47794209,8.46330923
27,1436546857000,49.47794052,8.46330089
28,1436546866000,49.47794027,8.46329956
29,1436546876000,49.47793969,8.46329852
30,1436546886000,49.47793838,8.463296
31,1436546896000,49.47793817,8.46329592
32,1436546907000,49.47793895,8.46329525
33,1436546917000,49.47793898,8.46329522
34,1436546927000,49.47793864,8.46329214
35,1436546937000,49.47793871,8.46329206
36,1436546947000,49.47793882,8.46329185
37,1436546958000,49.47793829,8.46329085
38,1436546969000,49.47793818,8.46329028
39,1436546979000,49.47793833,8.46329007
40,1436546989000,49.47793867,8.46328891
41,1436546998554,49.47786,8.46325753
42,1436547009000,49.47793909,8.4632888
43,1436547022000,49.477939,8.46328861
44,1436547031000,49.47793898,8.46328857
45,1436547041000,49.47793849,8.46328603
46,1436547050000,49.47793894,8.46328569
47,1436547061000,49.47793837,8.4632856
48,1436547073000,49.47793758,8.46328468
49,1436547081000,49.47793693,8.46328426
50,1436547092000,49.47793653,8.46328321
51,1436547102000,49.4779359,8.46328168
52,1436547111000,49.4779354,8.46328127
53,1436547121000,49.47793481,8.46328199
54,1436547133554,49.47791263,8.46325619
55,1436547141000,49.47793422,8.46328151
56,1436547154000,49.47793421,8.4632815
57,1436547162000,49.47793531,8.46328184
58,1436547174000,49.4779348,8.46328136
59,1436547185000,49.47793449,8.46328143
60,1436547193000,49.47793546,8.46328125
61,1436547204000,49.47793563,8.46328096
62,1436547214000,49.47793536,8.46327961
63,1436547225000,49.47793546,8.46328041
