id,attr_time,attr_light
1,1436546581508,379.0
2,1436546581530,379.0
3,1436546581549,379.0
4,1436546581568,379.0
5,1436546581588,379.0
6,1436546581610,379.0
7,1436546581628,379.0
8,1436546581649,379.0
9,1436546581672,379.0
10,1436546581690,379.0
11,1436546581710,379.0
12,1436546581730,379.0
13,1436546581749,379.0
14,1436546581769,379.0
15,1436546581791,379.0
16,1436546581808,379.0
17,1436546581830,379.0
18,1436546581850,379.0
19,1436546581870,379.0
20,1436546581889,379.0
21,1436546581909,379.0
22,1436546581930,379.0
23,1436546581949,379.0
24,1436546581974,379.0
25,1436546582015,380.0
26,1436546582016,380.0
27,1436546582033,380.0
28,1436546582051,380.0
29,1436546582070,380.0
30,1436546582089,381.0
31,1436546582109,381.0
32,1436546582130,381.0
33,1436546582150,381.0
34,1436546582169,382.0
35,1436546582192,382.0
36,1436546582210,382.0
37,1436546582230,382.0
38,1436546582249,382.0
39,1436546582269,383.0
40,1436546582291,383.0
41,1436546582311,382.0
42,1436546582332,382.0
43,1436546582353,383.0
44,1436546582371,383.0
45,1436546582393,384.0
46,1436546582412,384.0
47,1436546582431,385.0
48,1436546582449,385.0
49,1436546582470,385.0
50,1436546582489,387.0
51,1436546582513,387.0
52,1436546582533,388.0
53,1436546582554,388.0
54,1436546582573,387.0
55,1436546582593,387.0
56,1436546582611,390.0
57,1436546582629,392.0
58,1436546582652,392.0
59,1436546582669,394.0
60,1436546582726,394.0
61,1436546582727,396.0
62,1436546582741,396.0
63,1436546582750,398.0
64,1436546582769,398.0
65,1436546582791,398.0
66,1436546582809,398.0
67,1436546582830,397.0
68,1436546582851,397.0
69,1436546582870,397.0
70,1436546582892,397.0
71,1436546582912,397.0
72,1436546582930,397.0
73,1436546582951,397.0
74,1436546582971,397.0
75,1436546582993,397.0
76,1436546583013,397.0
77,1436546583032,397.0
78,1436546583054,397.0
79,1436546583073,396.0
80,1436546583092,396.0
81,1436546583110,397.0
82,1436546583131,397.0
83,1436546583155,398.0
84,1436546583173,398.0
85,1436546583193,400.0
86,1436546583212,400.0
87,1436546583234,403.0
88,1436546583255,405.0
89,1436546583270,405.0
90,1436546583292,407.0
91,1436546583311,407.0
92,1436546583330,406.0
93,1436546583350,406.0
94,1436546583373,404.0
95,1436546583392,404.0
96,1436546583415,400.0
97,1436546583472,400.0
98,1436546583473,398.0
99,1436546583474,398.0
100,1436546583493,398.0
101,1436546583511,400.0
102,1436546583535,400.0
103,1436546583550,401.0
104,1436546583573,401.0
