id,attr_time,attr_light
1,1436546581517,22.0
2,1436546581542,23.0
3,1436546581559,23.0
4,1436546581579,23.0
5,1436546581600,23.0
6,1436546581620,23.0
7,1436546581642,23.0
8,1436546581659,23.0
9,1436546581682,23.0
10,1436546581702,23.0
11,1436546581722,23.0
12,1436546581741,23.0
13,1436546581762,23.0
14,1436546581782,23.0
15,1436546581800,23.0
16,1436546581818,23.0
17,1436546581842,23.0
18,1436546581861,23.0
19,1436546581881,23.0
20,1436546581901,23.0
21,1436546581923,23.0
22,1436546581942,23.0
23,1436546581961,23.0
24,1436546581982,23.0
25,1436546582002,23.0
26,1436546582024,23.0
27,1436546582044,23.0
28,1436546582061,23.0
29,1436546582082,23.0
30,1436546582148,23.0
31,1436546582149,23.0
32,1436546582150,23.0
33,1436546582176,23.0
34,1436546582179,23.0
35,1436546582201,23.0
36,1436546582221,23.0
37,1436546582239,23.0
38,1436546582265,23.0
39,1436546582280,22.0
40,1436546582301,22.0
41,1436546582320,22.0
42,1436546582340,22.0
43,1436546582365,22.0
44,1436546582381,22.0
45,1436546582402,22.0
46,1436546582422,22.0
47,1436546582443,22.0
48,1436546582462,22.0
49,1436546582482,22.0
50,1436546582502,22.0
51,1436546582524,22.0
52,1436546582539,22.0
53,1436546582560,22.0
54,1436546582581,22.0
55,1436546582599,22.0
56,1436546582623,22.0
57,1436546582642,22.0
58,1436546582662,22.0
59,1436546582682,22.0
60,1436546582703,22.0
61,1436546582723,22.0
62,1436546582740,22.0
63,1436546582763,22.0
64,1436546582783,22.0
65,1436546582803,22.0
66,1436546582822,22.0
67,1436546582847,22.0
68,1436546582922,22.0
69,1436546582923,22.0
70,1436546582924,22.0
71,1436546582925,22.0
72,1436546582942,22.0
73,1436546582966,22.0
74,1436546582981,21.0
75,1436546583002,21.0
76,1436546583022,21.0
77,1436546583041,21.0
78,1436546583060,21.0
79,1436546583081,21.0
80,1436546583105,21.0
81,1436546583122,21.0
82,1436546583143,21.0
83,1436546583162,21.0
84,1436546583183,21.0
85,1436546583203,21.0
86,1436546583223,21.0
87,1436546583243,21.0
88,1436546583260,21.0
89,1436546583283,21.0
90,1436546583302,21.0
91,1436546583321,21.0
92,1436546583343,21.0
93,1436546583363,21.0
94,1436546583382,21.0
95,1436546583402,21.0
96,1436546583423,21.0
97,1436546583443,21.0
98,1436546583464,21.0
99,1436546583483,21.0
100,1436546583502,21.0
101,1436546583524,21.0
102,1436546583543,21.0
103,1436546583563,21.0
104,1436546583582,21.0
105,1436546583663,21.0
106,1436546583664,21.0
107,1436546583665,21.0
108,1436546583666,21.0
109,1436546583683,21.0
110,1436546583704,21.0
111,1436546583721,21.0
112,1436546583746,21.0
113,1436546583774,21.0
114,1436546583782,21.0
115,1436546583801,21.0
116,1436546583823,21.0
117,1436546583844,21.0
118,1436546583864,21.0
119,1436546583883,21.0
120,1436546583904,21.0
121,1436546583924,21.0
122,1436546583944,21.0
123,1436546583964,21.0
124,1436546583982,21.0
125,1436546584003,21.0
126,1436546584024,21.0
127,1436546584042,21.0
128,1436546584062,21.0
129,1436546584082,21.0
130,1436546584102,21.0
131,1436546584123,21.0
132,1436546584142,21.0
133,1436546584164,21.0
134,1436546584184,21.0
135,1436546584205,21.0
136,1436546584224,21.0
137,1436546584243,21.0
138,1436546584262,21.0
139,1436546584284,21.0
140,1436546584302,21.0
141,1436546584322,21.0
142,1436546584396,21.0
143,1436546584401,21.0
144,1436546584402,21.0
145,1436546584403,21.0
146,1436546584423,21.0
147,1436546584446,21.0
148,1436546584461,21.0
149,1436546584483,21.0
150,1436546584502,21.0
151,1436546584522,21.0
152,1436546584547,21.0
153,1436546584565,21.0
154,1436546584584,21.0
155,1436546584601,21.0
156,1436546584621,20.0
157,1436546584641,20.0
158,1436546584665,20.0
159,1436546584684,20.0
160,1436546584703,20.0
161,1436546584725,20.0
162,1436546584744,20.0
163,1436546584774,20.0
164,1436546584781,20.0
165,1436546584812,20.0
166,1436546584821,20.0
167,1436546584841,20.0
168,1436546584862,20.0
169,1436546584881,21.0
170,1436546584902,21.0
171,1436546584934,21.0
172,1436546584945,21.0
173,1436546584963,21.0
174,1436546584982,21.0
175,1436546585003,21.0
176,1436546585022,21.0
177,1436546585043,22.0
178,1436546585061,22.0
179,1436546585094,23.0
180,1436546585102,23.0
181,1436546585121,26.0
182,1436546585141,26.0
183,1436546585171,32.0
184,1436546585181,32.0
185,1436546585201,36.0
186,1436546585221,36.0
187,1436546585240,37.0
188,1436546585260,37.0
189,1436546585280,37.0
190,1436546585300,37.0
191,1436546585320,35.0
192,1436546585340,35.0
193,1436546585360,34.0
194,1436546585380,34.0
195,1436546585400,36.0
196,1436546585420,36.0
197,1436546585440,37.0
198,1436546585460,37.0
199,1436546585480,39.0
200,1436546585500,39.0
201,1436546585522,46.0
202,1436546585542,46.0
203,1436546585563,43.0
204,1436546585583,43.0
205,1436546585602,49.0
206,1436546585628,49.0
207,1436546585648,53.0
208,1436546585665,53.0
209,1436546585682,54.0
210,1436546585710,54.0
211,1436546587301,54.0
212,1436546587302,55.0
213,1436546587303,55.0
214,1436546587304,55.0
215,1436546587305,55.0
216,1436546587306,55.0
217,1436546587307,55.0
218,1436546587308,54.0
219,1436546587309,54.0
220,1436546587310,55.0
221,1436546587311,55.0
222,1436546587312,56.0
223,1436546587313,56.0
224,1436546587314,57.0
225,1436546587315,57.0
226,1436546587316,59.0
227,1436546587317,59.0
228,1436546587318,60.0
229,1436546587319,60.0
230,1436546587320,61.0
231,1436546587321,61.0
232,1436546587322,59.0
