id,attr_time,attr_lat,attr_lng
1,1436547657000,49.47798964,8.46324637
2,1436547676000,49.47799047,8.46327858
3,1436547687000,49.47798946,8.46329189
4,1436547697000,49.47799003,8.46329678
5,1436547708000,49.47799328,8.46330379
6,1436547717000,49.47799751,8.46331372
7,1436547728000,49.47799914,8.46332032
8,1436547739000,49.47800608,8.46332607
9,1436547749000,49.47800721,8.46333585
10,1436547758000,49.47800743,8.4633398
11,1436547770000,49.47800697,8.46335242
12,1436547779000,49.4780076,8.46335492
13,1436547790000,49.47800919,8.46335685
14,1436547799000,49.47801213,8.46335848
15,1436547810000,49.47801408,8.46336976
16,1436547821000,49.47812318,8.46348342
17,1436547832000,49.47843672,8.46360939
18,1436547841000,49.47842408,8.46361893
19,1436547851000,49.47839169,8.46361837
20,1436547862000,49.47836743,8.4636392
21,1436547871000,49.47834688,8.46365494
22,1436547881000,49.47834004,8.46365407
23,1436547892000,49.47829401,8.46364198
24,1436547901000,49.47826223,8.46363888
25,1436547912000,49.47821475,8.46363969
26,1436547922000,49.47817835,8.46364639
27,1436547933000,49.47816552,8.46365021
28,1436547944000,49.47816164,8.46365921
29,1436547954000,49.4781558,8.46367194
30,1436547964000,49.47816144,8.46366355
31,1436547974000,49.47816113,8.46366021
32,1436547985000,49.47816488,8.46365214
33,1436547994000,49.47816693,8.46365166
34,1436548004000,49.47816751,8.46365315
35,1436548015000,49.47816647,8.46365383
36,1436548029000,49.47816876,8.46364779
37,1436548039000,49.47816941,8.46364709
38,1436548045000,49.47816979,8.46364658
39,1436548055000,49.47816602,8.46364715
40,1436548066000,49.47816544,8.4636489
41,1436548075000,49.47816244,8.46365638
42,1436548086000,49.47815716,8.46366167
43,1436548096000,49.47815423,8.4636632
44,1436548106000,49.47815333,8.46366401
45,1436548117000,49.47815253,8.4636667
46,1436548128000,49.47815165,8.46366629
47,1436548137000,49.47814984,8.46366645
48,1436548147000,49.47814913,8.46366476
49,1436548158000,49.47814807,8.46366567
50,1436548168000,49.47814474,8.4636691
51,1436548179000,49.47814623,8.46366852
52,1436548189000,49.47814611,8.46367118
53,1436548199000,49.47814307,8.46367181
54,1436548210000,49.47814169,8.4636722
55,1436548220000,49.47814191,8.46367201
56,1436548230000,49.47814214,8.46367026
57,1436548240000,49.47813973,8.4636715
58,1436548250000,49.47813909,8.46367325
59,1436548261000,49.47813467,8.46368056
60,1436548271000,49.47813286,8.46368259
61,1436548281000,49.47813116,8.46368358
62,1436548292000,49.47813158,8.46368383
63,1436548302000,49.47813247,8.46368301
