id,attr_time,attr_light
1,1436547648042,1802.0
2,1436547648043,1802.0
3,1436547648044,1799.0
4,1436547648060,1799.0
5,1436547648078,1802.0
6,1436547648103,1802.0
7,1436547648118,1803.0
8,1436547648139,1803.0
9,1436547648158,1803.0
10,1436547648177,1802.0
11,1436547648197,1802.0
12,1436547648219,1794.0
13,1436547648237,1794.0
14,1436547648258,1795.0
15,1436547648278,1795.0
16,1436547648298,1793.0
17,1436547648317,1793.0
18,1436547648339,1786.0
19,1436547648358,1786.0
20,1436547648377,1786.0
21,1436547648396,1785.0
22,1436547648417,1785.0
23,1436547648437,1781.0
24,1436547648460,1781.0
25,1436547648478,1782.0
26,1436547648497,1782.0
27,1436547648517,1780.0
28,1436547648545,1774.0
29,1436547648581,1774.0
30,1436547648582,1774.0
31,1436547648597,1774.0
32,1436547648617,1776.0
33,1436547648637,1776.0
34,1436547648657,1780.0
35,1436547648677,1780.0
36,1436547648697,1779.0
37,1436547648719,1779.0
38,1436547648745,1776.0
39,1436547648767,1775.0
40,1436547648778,1775.0
41,1436547648799,1771.0
42,1436547648818,1771.0
43,1436547648837,1770.0
44,1436547648858,1770.0
45,1436547648879,1770.0
46,1436547648897,1770.0
47,1436547648917,1769.0
48,1436547648937,1769.0
49,1436547648957,1770.0
50,1436547648977,1772.0
51,1436547648997,1772.0
52,1436547649017,1770.0
53,1436547649038,1770.0
54,1436547649057,1766.0
55,1436547649077,1766.0
56,1436547649097,1779.0
57,1436547649117,1779.0
58,1436547649137,1769.0
59,1436547649157,1772.0
60,1436547649178,1772.0
61,1436547649199,1775.0
62,1436547649217,1775.0
63,1436547649238,1773.0
64,1436547649258,1773.0
65,1436547649278,1777.0
66,1436547649298,1777.0
67,1436547649317,1780.0
68,1436547649339,1780.0
69,1436547649359,1783.0
70,1436547649378,1791.0
71,1436547649398,1791.0
72,1436547649417,1799.0
73,1436547649437,1799.0
74,1436547649457,1808.0
75,1436547649477,1808.0
76,1436547649497,1815.0
77,1436547649518,1815.0
78,1436547649539,1819.0
79,1436547649558,1819.0
80,1436547649578,1820.0
81,1436547649599,1822.0
82,1436547649618,1822.0
83,1436547649638,1826.0
84,1436547649660,1826.0
85,1436547649681,1831.0
86,1436547649700,1831.0
87,1436547649719,1837.0
88,1436547649738,1837.0
89,1436547649758,1839.0
90,1436547649784,1842.0
91,1436547649798,1842.0
92,1436547649818,1844.0
93,1436547649838,1844.0
94,1436547649860,1848.0
95,1436547649880,1848.0
96,1436547649898,1845.0
97,1436547649919,1845.0
98,1436547649940,1857.0
99,1436547649959,1857.0
100,1436547649988,1858.0
101,1436547649998,1862.0
102,1436547650018,1862.0
103,1436547650056,1873.0
104,1436547650134,1873.0
105,1436547650135,1878.0
106,1436547650136,1878.0
107,1436547650137,1885.0
108,1436547650147,1885.0
109,1436547650161,1890.0
110,1436547650183,1898.0
111,1436547650198,1898.0
112,1436547650218,1908.0
113,1436547650239,1908.0
114,1436547650259,1912.0
115,1436547650279,1912.0
116,1436547650299,1919.0
117,1436547650318,1919.0
118,1436547650340,1933.0
119,1436547650359,1933.0
120,1436547650379,1941.0
121,1436547650399,1952.0
122,1436547650421,1952.0
123,1436547650442,1962.0
124,1436547650462,1962.0
125,1436547650480,1968.0
126,1436547650499,1968.0
127,1436547650519,1974.0
128,1436547650539,1974.0
129,1436547650559,1982.0
130,1436547650579,1982.0
131,1436547650600,1991.0
132,1436547650619,1997.0
133,1436547650639,1997.0
134,1436547650665,2004.0
135,1436547650684,2004.0
136,1436547650701,2001.0
137,1436547650719,2001.0
138,1436547650739,1999.0
139,1436547650759,1999.0
140,1436547650779,2003.0
141,1436547650801,1997.0
142,1436547650868,1997.0
143,1436547650869,1998.0
144,1436547650870,1998.0
145,1436547650879,1993.0
146,1436547650905,1993.0
147,1436547650921,1989.0
148,1436547650941,1989.0
149,1436547650963,1979.0
150,1436547650981,1979.0
151,1436547651000,1971.0
152,1436547651020,1965.0
153,1436547651039,1965.0
154,1436547651063,1956.0
155,1436547651081,1956.0
156,1436547651099,1949.0
157,1436547651120,1949.0
