id,attr_time,attr_lat,attr_lng
1,1436605266649,49.4473452,8.8963068
2,1436605276000,49.44736119,8.89642563
3,1436605282000,49.44736125,8.89642564
4,1436605286709,49.4473181,8.8963033
5,1436605307157,49.4473461,8.8963106
6,1436605327603,49.4473452,8.8963068
7,1436605347824,49.4473451,8.8963067
8,1436605367849,49.4473452,8.8963068
9,1436605388458,49.4473252,8.8963024
10,1436605408543,49.4473239,8.8962964
11,1436605428771,49.4473225,8.8963125
12,1436605449225,49.4473452,8.8963067
13,1436605469428,49.4473331,8.8963091
14,1436605489536,49.4473216,8.8962984
15,1436605510003,49.4473331,8.896309
16,1436605529966,49.447319,8.8962994
17,1436605550161,49.4473451,8.8963067
18,1436605571109,49.4473461,8.8963106
19,1436605591243,49.4473452,8.8963067
20,1436605611422,49.4473477,8.8963215
21,1436605631674,49.4473444,8.8963092
22,1436605651836,49.4473248,8.8963043
23,1436605671921,49.4473377,8.896312
24,1436605692401,49.4473276,8.8963009
25,1436605712461,49.4473331,8.8963093
26,1436605732593,49.4473371,8.8963191
27,1436605753118,49.4473478,8.8963124
28,1436605773264,49.4473339,8.8963124
29,1436605793471,49.4473258,8.896296
30,1436605814255,49.4473475,8.8963113
31,1436605834309,49.4473475,8.8963113
32,1436605854472,49.4473377,8.8963172
33,1436605874711,49.4473333,8.8963092
34,1436605894843,49.447339,8.8963131
