id,attr_time,attr_x,attr_y,attr_z
1,1436605249230,-17.097,-33.189,19.969
2,1436605249252,-17.097,-33.189,19.969
3,1436605249270,-17.097,-33.189,19.969
4,1436605249290,-17.097,-33.189,19.969
5,1436605249311,-17.097,-33.189,19.969
6,1436605249332,-17.097,-33.189,19.969
7,1436605249352,-17.097,-33.189,19.969
8,1436605249372,-17.097,-33.189,19.969
9,1436605249392,-17.097,-33.189,19.969
10,1436605249410,-17.097,-33.189,19.969
11,1436605249430,-17.097,-33.189,19.969
12,1436605249452,-17.097,-33.189,19.969
13,1436605249472,-17.097,-33.189,19.969
14,1436605249492,-17.097,-33.189,19.969
15,1436605249510,-17.097,-33.189,19.969
16,1436605249530,-17.097,-33.189,19.969
17,1436605249551,-17.097,-33.189,19.969
18,1436605249572,-17.097,-33.189,19.969
19,1436605249592,-17.097,-33.189,19.969
20,1436605249610,-17.097,-33.189,19.969
21,1436605249630,-17.097,-33.189,19.969
22,1436605249650,-17.097,-33.189,19.969
23,1436605249670,-17.097,-33.189,19.969
24,1436605249694,-17.097,-33.189,19.969
25,1436605249761,-17.097,-33.189,19.969
26,1436605249762,-17.097,-33.189,19.969
27,1436605249763,-17.097,-33.189,19.969
28,1436605249772,-17.097,-33.189,19.969
29,1436605249790,-17.097,-33.189,19.969
30,1436605249810,-17.097,-33.189,19.969
31,1436605249831,-17.097,-33.189,19.969
32,1436605249850,-17.097,-33.189,19.969
33,1436605249869,-17.097,-33.189,19.969
34,1436605249891,-17.097,-33.189,19.969
35,1436605249918,-17.097,-33.189,19.969
36,1436605249929,-17.097,-33.189,19.969
37,1436605249949,-17.097,-33.189,19.969
38,1436605249970,-17.097,-33.189,19.969
39,1436605249990,-17.097,-33.189,19.969
40,1436605250009,-17.097,-33.189,19.969
41,1436605250030,-17.097,-33.189,19.969
42,1436605250050,-17.097,-33.189,19.969
43,1436605250072,-17.097,-33.189,19.969
44,1436605250090,-17.097,-33.189,19.969
45,1436605250109,-17.097,-33.189,19.969
46,1436605250130,-17.097,-33.189,19.969
47,1436605250151,-17.097,-33.189,19.969
48,1436605250170,-17.097,-33.189,19.969
49,1436605250193,-17.097,-33.189,19.969
50,1436605250210,-17.097,-33.189,19.969
51,1436605250230,-17.097,-33.189,19.969
52,1436605250253,-17.097,-33.189,19.969
53,1436605250272,-17.097,-33.189,19.969
54,1436605250291,-17.097,-33.189,19.662
55,1436605250311,-17.097,-33.189,19.662
56,1436605250333,-17.097,-33.189,19.662
57,1436605250353,-17.097,-33.189,19.662
58,1436605250370,-17.097,-33.189,19.662
59,1436605250391,-17.097,-33.189,19.662
60,1436605250420,-17.097,-33.189,19.662
61,1436605250474,-17.097,-33.189,19.662
62,1436605250475,-17.097,-33.189,19.662
63,1436605250476,-17.097,-33.189,19.662
64,1436605250494,-17.097,-33.189,19.662
65,1436605250512,-17.097,-33.189,19.662
66,1436605250530,-17.097,-33.189,19.662
67,1436605250550,-17.097,-33.189,19.662
68,1436605250570,-16.778,-33.189,19.662
69,1436605250591,-16.778,-33.189,19.662
70,1436605250612,-16.778,-33.189,19.662
71,1436605250632,-16.778,-33.189,19.662
72,1436605250651,-16.778,-33.189,19.662
73,1436605250671,-16.778,-33.189,19.662
74,1436605250692,-16.778,-33.189,19.662
75,1436605250711,-16.778,-33.189,19.662
76,1436605250733,-16.778,-33.189,19.662
77,1436605250751,-16.778,-33.189,19.662
78,1436605250773,-16.778,-33.189,19.662
79,1436605250793,-16.778,-33.189,19.662
80,1436605250811,-16.778,-33.189,19.662
81,1436605250833,-16.778,-33.189,19.662
82,1436605250851,-16.778,-33.189,19.662
83,1436605250873,-16.778,-33.189,19.662
84,1436605250891,-16.471,-33.189,19.662
85,1436605250911,-16.471,-33.189,19.662
86,1436605250933,-16.471,-33.189,19.662
87,1436605250951,-16.471,-33.189,19.662
88,1436605250973,-16.471,-33.189,19.662
89,1436605250995,-16.471,-33.189,19.662
90,1436605251011,-16.471,-33.189,19.662
91,1436605251034,-16.471,-33.189,19.662
92,1436605251057,-16.471,-33.189,19.662
93,1436605251073,-16.471,-33.189,19.662
94,1436605251091,-16.471,-33.189,19.662
95,1436605251112,-16.471,-33.189,20.022
96,1436605251131,-16.471,-33.189,20.022
97,1436605251160,-16.471,-33.189,20.022
98,1436605251218,-16.471,-33.189,20.022
99,1436605251219,-16.471,-33.189,20.022
100,1436605251220,-16.471,-33.189,20.022
101,1436605251236,-16.471,-33.189,20.022
102,1436605251253,-16.471,-33.189,20.022
103,1436605251273,-16.471,-33.189,20.022
104,1436605251290,-16.471,-33.189,20.022
105,1436605251312,-16.471,-33.189,20.022
106,1436605251331,-16.471,-33.189,20.022
107,1436605251354,-16.471,-33.189,20.022
108,1436605251371,-16.471,-33.189,20.022
109,1436605251394,-16.471,-33.189,20.022
110,1436605251411,-16.471,-33.189,20.022
111,1436605251433,-16.471,-33.189,20.022
112,1436605251454,-16.471,-33.189,20.352
113,1436605251474,-16.471,-33.189,20.352
114,1436605251491,-16.471,-33.189,20.352
115,1436605251511,-16.471,-33.189,20.352
116,1436605251531,-16.471,-33.189,20.352
117,1436605251551,-16.471,-33.189,20.352
118,1436605251573,-16.471,-33.189,20.352
119,1436605251592,-16.471,-33.189,20.352
120,1436605251611,-16.471,-33.189,20.352
121,1436605251633,-16.471,-33.189,20.352
122,1436605251653,-16.471,-33.189,20.352
123,1436605251676,-16.471,-33.189,20.655
124,1436605251691,-16.471,-33.189,20.655
125,1436605251715,-16.471,-33.189,20.655
126,1436605251735,-16.471,-33.189,20.655
127,1436605251753,-16.471,-33.189,20.655
128,1436605251774,-16.471,-33.189,20.655
129,1436605251793,-16.148,-33.189,20.655
130,1436605251813,-16.148,-33.189,20.655
131,1436605251831,-16.148,-33.189,20.655
132,1436605251852,-16.148,-33.189,20.655
133,1436605251878,-16.148,-33.189,20.655
134,1436605251925,-16.148,-33.189,20.655
135,1436605251926,-16.148,-33.189,20.655
136,1436605251932,-16.148,-33.189,20.655
137,1436605251951,-16.148,-33.189,20.655
138,1436605251975,-16.148,-33.189,20.655
139,1436605251994,-16.148,-33.189,20.655
140,1436605252013,-16.148,-33.189,20.655
141,1436605252032,-16.148,-33.189,20.965
142,1436605252054,-16.148,-33.189,20.965
143,1436605252095,-16.148,-33.189,20.965
144,1436605252096,-16.148,-33.189,20.965
145,1436605252116,-16.148,-33.189,20.965
146,1436605252131,-16.148,-33.189,20.965
147,1436605252155,-16.148,-33.189,20.965
148,1436605252175,-16.148,-33.189,20.965
149,1436605252195,-16.148,-33.189,20.965
150,1436605252213,-16.148,-33.189,20.965
151,1436605252234,-16.148,-33.189,20.965
152,1436605252255,-16.148,-33.189,21.272
153,1436605252275,-16.148,-33.189,21.272
154,1436605252295,-16.148,-33.189,21.272
155,1436605252315,-16.148,-33.189,21.272
156,1436605252336,-16.148,-33.189,21.272
157,1436605252352,-16.148,-33.189,21.272
158,1436605252375,-16.148,-33.189,21.272
159,1436605252395,-16.148,-33.189,21.272
160,1436605252415,-16.148,-33.189,21.272
161,1436605252435,-16.148,-33.189,21.272
162,1436605252456,-16.148,-33.189,21.272
163,1436605252475,-16.148,-33.189,21.272
164,1436605252495,-16.456,-33.189,21.272
165,1436605252515,-16.456,-33.189,21.272
