id,attr_time,attr_lat,attr_lng
1,1436608598660,49.4473289,8.8962964
2,1436608618668,49.4473358,8.8963166
3,1436608638692,49.4473276,8.896311
4,1436608658686,49.4473313,8.8962997
5,1436608678704,49.4473463,8.8963175
6,1436608698698,49.4473295,8.8963039
7,1436608718713,49.4473287,8.8963019
8,1436608738723,49.447338,8.8963175
9,1436608758739,49.447338,8.8963171
10,1436608778742,49.447338,8.8963171
11,1436608798746,49.4473303,8.8963098
12,1436608818759,49.4473394,8.8963201
13,1436608838758,49.4473391,8.8963139
14,1436608858763,49.447348,8.8963079
15,1436608878790,49.4473463,8.8963158
16,1436608898797,49.4473268,8.8963183
17,1436608918808,49.4473367,8.8963241
18,1436608938815,49.4473463,8.8963158
19,1436608958810,49.4473463,8.8963158
20,1436608978827,49.4473245,8.8963181
21,1436608998843,49.4473324,8.8963002
22,1436609018854,49.447339,8.8963135
23,1436609038854,49.4473395,8.8963189
24,1436609058867,49.4473309,8.8963066
25,1436609078879,49.4473372,8.896319
26,1436609098876,49.4473488,8.8963083
27,1436609118884,49.447323,8.8963142
28,1436609138892,49.4473218,8.8963072
29,1436609158892,49.4473307,8.8963027
30,1436609179366,49.4473375,8.8963112
31,1436609199366,49.4473463,8.8963158
32,1436609219336,49.447338,8.8963255
33,1436609239345,49.4473272,8.8963088
