id,attr_time,attr_lat,attr_lng
1,1436608596870,49.447327,8.8963016
2,1436608616900,49.4473489,8.8963144
3,1436608637534,49.4473388,8.8963121
4,1436608657542,49.4473388,8.8963121
5,1436608677556,49.4473289,8.8963008
6,1436608697979,49.4473486,8.8963091
7,1436608718101,49.4473487,8.8963031
8,1436608738153,49.447339,8.8963147
9,1436608758853,49.4473486,8.8963133
10,1436608778969,49.4473473,8.8963152
11,1436608798990,49.4473477,8.896311
12,1436608819574,49.4473309,8.8963057
13,1436608839315,49.4473483,8.8963118
14,1436608859313,49.4473466,8.8963031
15,1436608879900,49.4473451,8.8963064
16,1436608899708,49.447347,8.8963204
17,1436608919749,49.4473463,8.8963151
18,1436608940189,49.4473258,8.896296
19,1436608960354,49.4473217,8.8963016
20,1436608980323,49.4473485,8.8963078
21,1436609000869,49.4473295,8.8963015
22,1436609020920,49.4473298,8.8962974
23,1436609040918,49.447337,8.8963136
24,1436609061439,49.4473216,8.896304
25,1436609081574,49.4473466,8.8963117
26,1436609101698,49.4473282,8.8963015
27,1436609121762,49.4473487,8.8963096
28,1436609141842,49.4473467,8.8963095
29,1436609161957,49.4473477,8.8963208
30,1436609182370,49.4473486,8.8963027
31,1436609202437,49.4473483,8.8963118
32,1436609224762,49.4473486,8.8963133
