id,attr_time,attr_lat,attr_lng
1,1436608599511,49.4473485,8.8963115
2,1436608619554,49.4473485,8.8963115
3,1436608640150,49.4473476,8.8963081
4,1436608660521,49.4473485,8.8963171
5,1436608680524,49.4473455,8.8963098
6,1436608700717,49.4473484,8.8963053
7,1436608720937,49.4473486,8.896312
8,1436608740803,49.4473476,8.8963081
9,1436608761120,49.447347,8.896306
10,1436608781254,49.4473487,8.8963148
11,1436608801378,49.4473473,8.8963078
12,1436608821446,49.4473465,8.8963109
13,1436608842238,49.4473473,8.8963078
14,1436608862128,49.4473475,8.8963124
15,1436608882697,49.4473487,8.8963148
16,1436608903021,49.447347,8.8963023
17,1436608923123,49.4473476,8.8963081
18,1436608943451,49.4473477,8.8963186
19,1436608963809,49.4473472,8.8963079
20,1436608983609,49.4473476,8.8963081
21,1436609004199,49.4473482,8.8963049
22,1436609023992,49.4473486,8.8963156
23,1436609044219,49.4473473,8.8963078
24,1436609064154,49.447347,8.896306
25,1436609084414,49.4473486,8.896312
26,1436609105108,49.4473485,8.8963115
27,1436609124595,49.4473476,8.8963044
28,1436609144673,49.447347,8.8963023
29,1436609165380,49.4473476,8.8963155
30,1436609185334,49.4473474,8.8962997
31,1436609206225,49.4473485,8.8963115
32,1436609227031,49.4473472,8.8963175
