id,attr_time,attr_x,attr_y,attr_z
1,1436608595914,36.485,7.011,-22.814
2,1436608595933,36.485,7.011,-22.814
3,1436608595955,36.485,7.011,-22.814
4,1436608595976,36.485,7.011,-22.814
5,1436608595996,36.485,7.011,-22.814
6,1436608596013,36.485,7.011,-22.814
7,1436608596034,36.485,7.011,-22.814
8,1436608596056,36.485,7.011,-22.814
9,1436608596073,36.485,7.011,-22.814
10,1436608596093,36.485,7.011,-22.814
11,1436608596113,36.485,7.011,-22.814
12,1436608596133,36.485,7.011,-22.814
13,1436608596153,36.485,7.011,-22.814
14,1436608596174,36.485,7.011,-22.814
15,1436608596194,36.485,7.011,-22.814
16,1436608596217,36.485,7.011,-22.814
17,1436608596288,36.485,7.011,-22.814
18,1436608596289,36.485,7.011,-22.814
19,1436608596292,36.485,7.011,-22.814
20,1436608596293,36.485,7.011,-22.814
21,1436608596313,36.485,7.011,-22.814
22,1436608596333,36.485,7.011,-22.814
23,1436608596353,36.485,7.011,-22.814
24,1436608596378,36.485,7.011,-23.158
25,1436608596393,36.485,7.011,-23.158
26,1436608596415,36.485,7.011,-23.158
27,1436608596437,36.485,7.011,-23.158
28,1436608596453,36.485,7.011,-23.158
29,1436608596501,36.485,7.011,-23.158
30,1436608596502,36.485,7.011,-23.158
31,1436608596515,36.485,7.011,-23.158
32,1436608596534,36.485,7.011,-23.158
33,1436608596554,36.485,7.011,-23.158
34,1436608596576,36.485,7.011,-23.158
35,1436608596594,36.485,7.011,-23.158
36,1436608596616,36.485,7.011,-23.158
37,1436608596633,36.485,7.011,-23.158
38,1436608596654,36.485,7.011,-23.158
39,1436608596678,36.485,7.011,-23.158
40,1436608596694,36.485,7.011,-23.158
41,1436608596716,36.485,7.011,-23.158
42,1436608596733,36.485,7.011,-23.158
43,1436608596754,36.485,7.011,-23.158
44,1436608596776,36.485,7.011,-23.158
45,1436608596793,36.485,7.011,-23.158
46,1436608596818,36.485,7.011,-22.843
47,1436608596835,36.485,7.011,-22.843
48,1436608596856,36.485,7.011,-22.843
49,1436608596873,36.485,7.011,-22.843
50,1436608596896,36.485,7.011,-22.843
51,1436608596914,36.485,7.011,-22.843
52,1436608596943,36.485,7.011,-22.843
53,1436608597009,36.485,7.011,-22.843
54,1436608597011,36.485,7.011,-22.843
55,1436608597012,36.485,7.011,-22.843
56,1436608597014,36.485,7.011,-22.843
57,1436608597034,36.485,7.011,-22.843
58,1436608597053,36.485,7.011,-22.843
59,1436608597073,36.485,7.011,-22.843
60,1436608597097,36.485,7.011,-22.843
61,1436608597113,36.485,7.011,-22.843
62,1436608597135,36.485,7.011,-22.843
63,1436608597161,36.485,7.011,-22.843
64,1436608597174,36.485,7.011,-22.843
65,1436608597193,36.485,7.011,-22.843
66,1436608597216,36.485,7.011,-22.843
67,1436608597235,36.485,7.011,-22.843
68,1436608597257,36.485,7.011,-22.843
69,1436608597276,36.485,7.011,-22.843
70,1436608597297,36.485,7.011,-22.843
71,1436608597317,36.485,7.011,-22.843
72,1436608597334,36.485,7.011,-22.843
73,1436608597357,36.485,7.011,-22.843
74,1436608597377,36.485,7.011,-22.843
75,1436608597397,36.485,7.011,-22.843
76,1436608597417,36.485,7.011,-22.843
77,1436608597435,36.485,7.011,-22.843
78,1436608597456,36.485,7.011,-22.843
79,1436608597480,36.485,7.011,-22.843
80,1436608597497,36.485,7.011,-22.843
81,1436608597514,36.485,7.011,-22.843
82,1436608597534,36.485,7.011,-22.843
83,1436608597554,36.485,7.011,-22.843
84,1436608597580,36.485,7.011,-22.843
85,1436608597596,36.793,7.011,-22.843
86,1436608597616,36.793,7.011,-22.843
87,1436608597635,36.793,7.011,-22.843
88,1436608597662,36.793,7.011,-22.843
89,1436608597737,36.793,7.011,-22.843
90,1436608597738,36.793,7.011,-22.843
91,1436608597739,36.793,7.011,-22.843
92,1436608597740,36.793,7.011,-22.843
93,1436608597756,36.793,7.011,-22.843
94,1436608597774,36.793,7.011,-22.843
95,1436608597795,36.793,7.011,-22.843
96,1436608597816,36.793,7.011,-22.843
