id,attr_time,attr_x,attr_y,attr_z
1,1436608595916,33.9508,26.3016,-12.1002
2,1436608595937,33.9508,26.3016,-12.1002
3,1436608595956,34.1263,27.8839,-11.2595
4,1436608595978,34.1263,28.5873,-11.2595
5,1436608595996,34.1263,28.5873,-11.2595
6,1436608596015,32.55,26.6525,-12.7731
7,1436608596035,33.4259,26.1261,-12.2681
8,1436608596054,33.4259,26.1261,-12.2681
9,1436608596075,33.6014,27.356,-12.7731
10,1436608596095,33.075,27.1805,-12.941
11,1436608596115,33.075,27.1805,-12.941
12,1436608596135,34.3018,26.3016,-12.1002
13,1436608596152,34.3018,27.005,-13.7817
14,1436608596175,34.3018,27.005,-13.7817
15,1436608596192,33.4259,27.5314,-12.6053
16,1436608596217,33.9508,26.6525,-12.1002
17,1436608596233,33.9508,26.6525,-12.1002
18,1436608596254,33.7769,27.5314,-12.6053
19,1436608596274,33.2504,27.7084,-11.7645
20,1436608596293,33.2504,27.7084,-11.7645
21,1436608596315,34.3018,28.4103,-12.1002
22,1436608596333,35.1776,25.7736,-11.9324
23,1436608596353,35.1776,25.7736,-11.9324
24,1436608596372,34.1263,27.1805,-12.941
25,1436608596392,34.1263,26.477,-12.941
26,1436608596412,34.1263,26.477,-12.941
27,1436608596432,33.4259,26.8295,-12.6053
28,1436608596452,33.9508,27.005,-12.4359
29,1436608596471,33.9508,27.005,-12.4359
30,1436608596491,33.4259,27.1805,-12.6053
31,1436608596511,35.5286,25.7736,-11.2595
32,1436608596531,35.5286,25.7736,-11.2595
33,1436608596551,34.3018,26.3016,-12.1002
34,1436608596570,33.6014,26.3016,-10.7544
35,1436608596591,33.6014,26.3016,-10.7544
36,1436608596611,34.3018,28.4103,-12.1002
37,1436608596630,33.7769,26.477,-13.6139
38,1436608596650,33.7769,26.477,-13.6139
39,1436608596670,34.6527,28.0594,-11.7645
40,1436608596690,34.1263,27.5314,-10.2509
41,1436608596712,34.1263,27.5314,-10.2509
42,1436608596729,34.1263,27.8839,-9.24072
43,1436608596749,33.9508,26.6525,-12.4359
44,1436608596769,33.9508,26.6525,-12.4359
45,1436608596787,33.6014,25.9506,-11.7645
46,1436608596811,34.3018,27.005,-12.7731
47,1436608596827,34.3018,27.005,-12.7731
48,1436608596848,34.4772,27.1805,-10.5865
49,1436608596868,34.1263,27.1805,-12.6053
50,1436608596888,34.1263,27.1805,-12.6053
51,1436608596907,33.4259,27.8839,-11.9324
52,1436608596926,32.1991,27.005,-12.4359
53,1436608596947,32.1991,27.005,-12.4359
54,1436608596967,34.6527,29.1138,-11.0916
55,1436608596987,33.9508,27.7084,-11.7645
56,1436608597009,33.9508,27.7084,-11.7645
57,1436608597026,33.6014,28.0594,-10.4187
58,1436608597046,34.8267,27.8839,-10.9222
59,1436608597067,34.8267,27.8839,-10.9222
60,1436608597086,33.6014,28.0594,-10.7544
61,1436608597104,33.4259,26.8295,-12.2681
62,1436608597126,33.4259,26.8295,-12.2681
63,1436608597144,33.9508,27.7084,-12.4359
64,1436608597166,34.6527,26.6525,-11.0916
65,1436608597184,34.6527,26.6525,-11.0916
66,1436608597205,35.3531,28.0594,-11.4273
67,1436608597225,33.4259,27.5314,-10.9222
68,1436608597243,33.4259,27.5314,-10.9222
69,1436608597265,32.55,27.005,-11.4273
70,1436608597283,33.075,25.7736,-11.5952
71,1436608597307,33.075,25.7736,-11.5952
72,1436608597324,34.3018,28.7628,-12.7731
73,1436608597344,33.6014,27.7084,-11.7645
74,1436608597364,33.6014,27.7084,-11.7645
75,1436608597383,33.4259,27.8839,-11.5952
76,1436608597406,33.7769,27.8839,-13.2767
77,1436608597423,33.7769,27.8839,-13.2767
78,1436608597443,33.9508,28.0594,-12.4359
79,1436608597462,33.9508,27.005,-13.7817
80,1436608597483,33.9508,27.005,-13.7817
81,1436608597503,33.4259,27.1805,-11.9324
82,1436608597522,33.9508,27.356,-11.4273
83,1436608597542,33.9508,27.356,-11.4273
84,1436608597560,34.6527,28.4103,-11.7645
85,1436608597582,34.4772,26.477,-12.2681
86,1436608597600,34.4772,26.477,-12.2681
87,1436608597621,32.7255,28.2349,-10.9222
88,1436608597644,34.8267,26.1261,-12.941
89,1436608597661,34.8267,26.1261,-12.941
90,1436608597681,33.6014,27.356,-11.4273
91,1436608597701,33.9508,25.9506,-12.4359
92,1436608597720,33.9508,25.9506,-12.4359
93,1436608597742,33.6014,27.356,-11.0916
94,1436608597760,34.8267,26.1261,-12.941
95,1436608597780,34.8267,26.1261,-12.941
96,1436608597800,34.8267,27.5314,-11.9324
97,1436608597819,34.3018,26.6525,-12.1002
98,1436608597840,34.3018,26.6525,-12.1002
99,1436608597859,33.6014,28.0594,-10.7544
100,1436608597878,33.7769,28.2349,-10.9222
101,1436608597898,33.7769,28.2349,-10.9222
102,1436608597918,34.1263,28.5873,-12.941
103,1436608597939,35.0021,27.005,-11.4273
104,1436608597958,35.0021,27.005,-11.4273
105,1436608597978,34.4772,27.5314,-12.6053
106,1436608597998,33.9508,26.6525,-13.1088
107,1436608598018,33.9508,26.6525,-13.1088
108,1436608598037,34.8267,27.8839,-12.6053
109,1436608598057,34.8267,27.1805,-12.6053
110,1436608598077,34.8267,27.1805,-12.6053
111,1436608598097,33.9508,27.7084,-10.7544
112,1436608598117,34.3018,26.3016,-11.7645
113,1436608598139,34.3018,26.3016,-11.7645
114,1436608598157,35.704,28.7628,-13.446
115,1436608598174,34.8267,26.1261,-11.9324
116,1436608598195,34.8267,26.1261,-11.9324
117,1436608598216,34.6527,27.7084,-11.7645
118,1436608598234,33.7769,27.8839,-11.5952
119,1436608598256,33.7769,27.8839,-11.5952
120,1436608598275,33.075,27.8839,-11.2595
121,1436608598296,33.6014,27.7084,-12.7731
122,1436608598315,33.6014,27.7084,-12.7731
123,1436608598336,33.6014,28.0594,-12.1002
124,1436608598355,34.8267,25.4227,-12.6053
125,1436608598374,34.8267,25.4227,-12.6053
126,1436608598395,33.075,28.2349,-11.2595
127,1436608598414,32.8995,26.3016,-11.0916
128,1436608598436,32.8995,26.3016,-11.0916
129,1436608598454,34.1263,29.2892,-11.9324
130,1436608598474,34.1263,26.1261,-12.6053
131,1436608598494,34.1263,26.1261,-12.6053
132,1436608598513,34.3018,27.356,-10.7544
133,1436608598536,33.4259,24.7192,-12.941
134,1436608598552,33.4259,24.7192,-12.941
135,1436608598572,34.1263,27.8839,-11.9324
136,1436608598593,34.8267,26.8295,-12.941
137,1436608598613,34.8267,26.8295,-12.941
138,1436608598633,32.1991,28.0594,-9.74579
139,1436608598650,35.3531,26.6525,-11.0916
140,1436608598672,35.3531,26.6525,-11.0916
141,1436608598691,34.4772,27.1805,-12.6053
142,1436608598712,33.7769,25.4227,-13.2767
143,1436608598732,33.7769,25.4227,-13.2767
144,1436608598751,32.55,28.0594,-11.0916
145,1436608598768,34.4772,27.1805,-10.9222
146,1436608598787,34.4772,27.1805,-10.9222
147,1436608598807,35.3531,28.7628,-12.1002
148,1436608598827,33.6014,27.005,-12.4359
149,1436608598846,33.6014,27.005,-12.4359
150,1436608598871,33.075,26.8295,-12.2681
151,1436608598889,34.3018,28.0594,-13.1088
152,1436608598910,34.3018,28.0594,-13.1088
153,1436608598930,34.8267,27.1805,-12.2681
154,1436608598949,34.4772,27.5314,-10.5865
155,1436608598967,34.4772,27.5314,-10.5865
156,1436608598989,33.9508,27.356,-11.4273
157,1436608599007,34.1263,25.4227,-12.941
158,1436608599028,34.1263,25.4227,-12.941
159,1436608599048,33.6014,29.1138,-12.1002
160,1436608599069,33.6014,28.0594,-11.4273
161,1436608599088,33.6014,28.0594,-11.4273
162,1436608599108,34.3018,29.1138,-12.1002
163,1436608599128,34.4772,26.477,-12.2681
164,1436608599147,34.4772,26.477,-12.2681
165,1436608599168,34.8267,28.9383,-12.6053
166,1436608599187,33.6014,26.6525,-11.7645
167,1436608599207,33.6014,26.6525,-11.7645
168,1436608599226,33.9508,28.0594,-11.7645
169,1436608599247,34.6527,27.005,-12.1002
170,1436608599269,34.6527,27.005,-12.1002
171,1436608599285,35.3531,28.4103,-11.4273
172,1436608599306,33.4259,27.5314,-11.9324
173,1436608599325,33.4259,27.5314,-11.9324
174,1436608599346,34.1263,27.8839,-10.5865
175,1436608599368,33.9508,27.005,-13.446
176,1436608599385,33.9508,27.005,-13.446
177,1436608599405,35.5286,27.1805,-11.9324
178,1436608599425,33.6014,26.6525,-12.7731
179,1436608599445,33.6014,26.6525,-12.7731
180,1436608599467,34.3018,27.7084,-11.4273
181,1436608599485,33.9508,27.005,-12.4359
182,1436608599504,33.9508,27.005,-12.4359
183,1436608599524,34.3018,27.7084,-12.1002
