id,attr_time,attr_x,attr_y,attr_z
1,1436608595923,17.881,-38.603,8.706
2,1436608595943,17.881,-38.603,8.706
3,1436608595962,17.881,-38.603,8.706
4,1436608595984,17.881,-38.603,8.706
5,1436608596003,17.881,-38.603,8.706
6,1436608596028,17.881,-38.603,8.706
7,1436608596043,17.881,-38.603,8.706
8,1436608596060,17.881,-38.603,8.706
9,1436608596081,17.881,-38.603,8.706
10,1436608596100,17.881,-38.603,8.706
11,1436608596123,17.881,-38.603,8.706
12,1436608596147,17.881,-38.603,8.706
13,1436608596162,17.881,-38.603,8.706
14,1436608596184,17.881,-38.603,8.398
15,1436608596201,17.881,-38.603,8.398
16,1436608596220,17.881,-38.603,8.398
17,1436608596240,17.881,-38.603,8.398
18,1436608596262,17.881,-38.603,8.398
19,1436608596287,17.881,-38.603,8.398
20,1436608596347,17.881,-38.603,8.398
21,1436608596348,17.881,-38.603,8.398
22,1436608596349,17.881,-38.603,8.398
23,1436608596371,17.881,-38.603,8.398
24,1436608596380,17.881,-38.603,8.398
25,1436608596401,17.881,-38.603,8.398
26,1436608596422,17.881,-38.603,8.398
27,1436608596440,17.881,-38.603,8.398
28,1436608596461,17.881,-38.603,8.398
29,1436608596481,17.881,-38.603,8.398
30,1436608596501,17.881,-38.603,8.398
31,1436608596520,17.881,-38.603,8.398
32,1436608596541,17.881,-38.603,8.398
33,1436608596561,17.881,-38.603,8.398
34,1436608596582,17.881,-38.603,8.398
35,1436608596603,17.881,-38.603,8.398
36,1436608596624,17.881,-38.603,8.398
37,1436608596643,17.881,-38.603,8.398
38,1436608596664,17.881,-38.603,8.398
39,1436608596685,17.881,-38.603,8.071
40,1436608596703,17.881,-38.603,8.071
41,1436608596724,17.881,-38.603,8.071
42,1436608596743,17.881,-38.603,8.071
43,1436608596761,17.881,-38.603,8.071
44,1436608596785,17.881,-38.603,8.071
45,1436608596803,17.881,-38.603,8.071
46,1436608596824,17.881,-38.603,8.071
47,1436608596842,17.881,-38.603,8.071
48,1436608596865,17.881,-38.603,8.071
49,1436608596885,17.881,-38.603,8.071
50,1436608596903,17.881,-38.603,8.071
51,1436608596924,17.881,-38.603,8.071
52,1436608596945,17.881,-38.603,8.071
53,1436608596964,17.881,-38.603,8.071
54,1436608596985,17.881,-38.603,8.071
55,1436608597004,17.881,-38.603,8.071
56,1436608597107,17.881,-38.603,8.071
57,1436608597108,17.881,-38.603,8.071
58,1436608597109,17.881,-38.603,8.071
59,1436608597110,17.881,-38.603,8.071
60,1436608597111,17.881,-38.603,8.071
61,1436608597123,17.881,-38.603,8.071
62,1436608597143,17.881,-38.603,8.071
63,1436608597163,17.881,-38.603,8.071
64,1436608597196,17.881,-38.603,8.071
65,1436608597202,17.881,-38.603,8.071
66,1436608597221,17.881,-38.603,8.071
67,1436608597241,17.881,-38.603,8.071
68,1436608597262,17.881,-38.603,8.071
69,1436608597292,17.881,-38.603,8.071
70,1436608597305,17.881,-38.603,8.071
71,1436608597325,17.881,-38.603,8.071
72,1436608597345,17.881,-38.603,8.071
73,1436608597365,17.881,-38.603,8.071
74,1436608597385,17.881,-38.603,8.071
75,1436608597405,17.881,-38.603,8.071
76,1436608597425,17.881,-38.603,8.377
77,1436608597444,17.881,-38.603,8.377
78,1436608597466,17.881,-38.603,8.377
79,1436608597482,17.881,-38.603,8.377
80,1436608597505,17.881,-38.603,8.377
81,1436608597527,17.881,-38.603,8.377
82,1436608597545,17.881,-38.603,8.377
83,1436608597565,17.881,-38.603,8.377
84,1436608597586,17.881,-38.603,8.377
85,1436608597604,17.881,-38.603,8.377
86,1436608597622,17.881,-38.603,8.377
87,1436608597645,17.881,-38.603,8.377
88,1436608597665,17.881,-38.603,8.377
89,1436608597687,17.881,-38.603,8.377
90,1436608597712,17.881,-38.603,8.377
91,1436608597722,17.881,-38.603,8.377
92,1436608597743,17.881,-38.603,8.377
93,1436608597767,17.881,-38.603,8.377
94,1436608597789,17.881,-38.603,8.377
95,1436608597802,17.881,-38.603,8.377
96,1436608597822,17.881,-38.603,8.377
97,1436608597844,17.881,-38.603,8.377
98,1436608597865,17.881,-38.603,8.377
99,1436608597886,17.881,-38.603,8.377
100,1436608597904,17.881,-38.603,8.377
101,1436608597922,17.881,-38.603,8.377
102,1436608597943,17.881,-38.603,8.377
103,1436608597963,17.881,-38.603,8.377
104,1436608597983,17.881,-38.603,8.377
105,1436608598066,17.881,-38.603,8.377
106,1436608598067,17.881,-38.603,8.377
107,1436608598068,17.881,-38.603,8.377
108,1436608598069,17.881,-38.603,8.377
109,1436608598092,17.881,-38.603,8.377
110,1436608598105,17.881,-38.603,8.377
111,1436608598125,17.881,-38.603,8.377
112,1436608598146,17.881,-38.603,8.377
113,1436608598165,17.881,-38.603,8.377
114,1436608598186,17.881,-38.603,8.377
115,1436608598202,17.881,-38.603,8.377
116,1436608598226,17.881,-38.603,8.377
117,1436608598246,17.881,-38.603,8.377
118,1436608598266,17.881,-38.603,8.377
119,1436608598286,17.881,-38.603,8.377
120,1436608598303,17.881,-38.603,8.377
121,1436608598326,17.881,-38.603,8.377
122,1436608598346,17.881,-38.603,8.377
123,1436608598366,17.881,-38.603,8.377
124,1436608598386,17.881,-38.603,8.377
125,1436608598406,17.881,-38.603,8.377
126,1436608598426,17.881,-38.603,8.377
