id,attr_time,attr_x,attr_y,attr_z
1,1436608595917,34.382,-26.06,1.576
2,1436608595937,34.382,-26.06,1.576
3,1436608595957,34.382,-26.06,1.576
4,1436608595977,34.382,-26.06,1.576
5,1436608595997,34.382,-26.06,1.576
6,1436608596017,34.382,-26.06,1.576
7,1436608596037,34.382,-26.06,1.576
8,1436608596057,34.382,-26.06,1.576
9,1436608596077,34.382,-26.06,1.576
10,1436608596097,34.382,-26.06,1.576
11,1436608596117,34.382,-26.06,1.576
12,1436608596137,34.382,-26.06,1.576
13,1436608596157,34.382,-26.06,1.576
14,1436608596177,34.382,-26.06,1.576
15,1436608596198,34.382,-26.06,1.576
16,1436608596217,34.382,-26.06,1.576
17,1436608596237,34.382,-26.06,1.576
18,1436608596257,34.382,-26.06,1.576
19,1436608596277,34.382,-26.06,1.576
20,1436608596297,34.382,-26.06,1.576
21,1436608596317,34.382,-26.06,1.576
22,1436608596337,34.382,-26.06,1.576
23,1436608596358,34.382,-26.06,1.576
24,1436608596377,34.382,-26.06,1.576
25,1436608596397,34.382,-26.06,1.576
26,1436608596417,34.382,-26.06,1.576
27,1436608596437,34.382,-26.06,1.576
28,1436608596457,34.382,-26.06,1.576
29,1436608596477,34.382,-26.06,1.576
30,1436608596497,34.382,-26.06,1.576
31,1436608596517,34.382,-26.06,1.576
32,1436608596537,34.382,-26.06,1.576
33,1436608596557,34.382,-26.06,1.576
34,1436608596578,34.382,-26.06,1.576
35,1436608596597,34.382,-26.06,1.576
36,1436608596618,34.382,-26.06,1.576
37,1436608596637,34.382,-26.06,1.576
38,1436608596657,34.382,-26.06,1.576
39,1436608596677,34.382,-26.06,1.576
40,1436608596697,34.382,-26.06,1.576
41,1436608596717,34.382,-26.06,1.576
42,1436608596737,34.382,-26.06,1.576
43,1436608596757,34.382,-26.06,1.576
44,1436608596777,34.382,-26.06,1.576
45,1436608596797,34.382,-26.06,1.576
46,1436608596817,34.382,-26.06,1.576
47,1436608596838,34.382,-26.06,1.576
48,1436608596857,34.382,-26.06,1.576
49,1436608596877,34.382,-26.06,1.576
50,1436608596897,34.382,-26.06,1.576
51,1436608596918,34.382,-26.06,1.576
52,1436608596938,34.382,-26.06,1.576
53,1436608596958,34.382,-26.06,1.576
54,1436608596979,34.382,-26.06,1.576
55,1436608596998,34.382,-26.06,1.576
56,1436608597018,34.382,-26.06,1.576
57,1436608597038,34.382,-26.06,1.576
