id,attr_time,attr_x,attr_y,attr_z
1,1438331472014,41.2338,23.1537,9.34906
2,1438331472032,43.3365,23.5062,10.022
3,1438331472052,41.0583,24.0326,9.85413
4,1438331472072,41.0583,24.0326,9.85413
5,1438331472090,39.8315,23.8571,8.34045
6,1438331472114,41.4093,23.6816,9.51843
7,1438331472130,41.4093,23.6816,9.51843
8,1438331472151,40.7089,22.2748,9.18121
9,1438331472172,41.4093,24.0326,11.2
10,1438331472191,41.4093,24.0326,11.2
11,1438331472213,42.6361,24.2081,9.68628
12,1438331472229,41.7587,23.3292,8.84552
13,1438331472250,41.7587,23.3292,8.84552
14,1438331472270,41.7587,23.6816,8.84552
15,1438331472290,41.0583,22.6273,9.85413
16,1438331472312,41.0583,22.6273,9.85413
17,1438331472330,41.2338,21.7484,10.022
18,1438331472350,41.0583,23.6816,8.17261
19,1438331472370,41.0583,23.6816,8.17261
20,1438331472389,41.0583,24.3851,9.18121
21,1438331472410,40.358,24.3851,9.51843
22,1438331472429,40.358,24.3851,9.51843
23,1438331472448,41.4093,21.9238,8.84552
24,1438331472469,41.7587,22.6273,10.1898
25,1438331472488,41.7587,22.6273,10.1898
26,1438331472509,40.8829,24.2081,9.34906
27,1438331472528,41.7587,23.6816,8.17261
28,1438331472546,41.7587,23.6816,8.17261
29,1438331472567,40.8829,23.5062,9.68628
30,1438331472587,41.7587,22.9782,9.18121
31,1438331472608,41.7587,22.9782,9.18121
32,1438331472627,39.6576,23.3292,9.85413
33,1438331472647,41.7587,24.0326,8.84552
34,1438331472667,41.7587,24.0326,8.84552
35,1438331472687,41.7587,23.6816,8.84552
36,1438331472707,41.9342,23.5062,8.67767
37,1438331472726,41.9342,23.5062,8.67767
38,1438331472749,41.7587,24.736,9.51843
39,1438331472767,40.358,22.9782,9.18121
40,1438331472786,40.358,22.9782,9.18121
41,1438331472806,41.9342,24.5605,7.66754
42,1438331472826,40.5334,23.1537,9.34906
43,1438331472848,40.5334,23.1537,9.34906
