id,attr_time,attr_light
1,1436621318018,981.0
2,1436621318040,981.0
3,1436621318061,981.0
4,1436621318080,981.0
5,1436621318099,982.0
6,1436621318118,982.0
7,1436621318138,985.0
8,1436621318158,985.0
9,1436621318180,984.0
10,1436621318200,984.0
11,1436621318220,982.0
12,1436621318238,982.0
13,1436621318258,982.0
14,1436621318331,982.0
15,1436621318332,981.0
16,1436621318333,981.0
17,1436621318344,980.0
18,1436621318360,980.0
19,1436621318390,979.0
20,1436621318396,979.0
21,1436621318416,979.0
22,1436621318436,980.0
23,1436621318457,980.0
24,1436621318476,980.0
25,1436621318496,980.0
26,1436621318516,979.0
27,1436621318537,979.0
28,1436621318557,981.0
29,1436621318577,981.0
30,1436621318597,980.0
31,1436621318616,980.0
32,1436621318636,980.0
33,1436621318657,980.0
34,1436621318677,981.0
35,1436621318697,981.0
36,1436621318717,980.0
37,1436621318737,980.0
38,1436621318756,981.0
39,1436621318779,980.0
40,1436621318800,980.0
41,1436621318820,980.0
42,1436621318839,980.0
43,1436621318860,980.0
44,1436621318880,980.0
45,1436621318899,982.0
46,1436621318922,982.0
47,1436621318940,981.0
48,1436621319048,981.0
49,1436621319082,981.0
50,1436621319083,981.0
51,1436621319084,980.0
52,1436621319085,980.0
53,1436621319086,980.0
54,1436621319087,980.0
55,1436621319116,980.0
56,1436621319117,980.0
57,1436621319136,980.0
58,1436621319156,980.0
59,1436621319176,980.0
60,1436621319197,979.0
61,1436621319216,979.0
62,1436621319236,978.0
63,1436621319256,978.0
64,1436621319276,977.0
65,1436621319296,977.0
66,1436621319316,977.0
67,1436621319336,977.0
68,1436621319356,974.0
69,1436621319376,974.0
70,1436621319396,972.0
71,1436621319416,972.0
72,1436621319436,970.0
73,1436621319456,970.0
74,1436621319476,971.0
75,1436621319497,971.0
76,1436621319520,970.0
77,1436621319539,969.0
78,1436621319561,969.0
79,1436621319583,968.0
80,1436621319601,968.0
81,1436621319623,967.0
82,1436621319637,967.0
83,1436621319681,967.0
84,1436621319689,967.0
85,1436621319697,967.0
86,1436621319719,967.0
87,1436621319737,966.0
88,1436621319757,966.0
89,1436621319777,968.0
90,1436621319810,968.0
91,1436621319825,967.0
92,1436621319840,967.0
93,1436621319857,968.0
94,1436621319877,968.0
95,1436621319897,969.0
96,1436621319917,970.0
97,1436621319938,970.0
98,1436621319957,971.0
99,1436621319977,971.0
100,1436621319997,971.0
101,1436621320017,971.0
102,1436621320039,972.0
103,1436621320059,972.0
104,1436621320080,973.0
105,1436621320100,973.0
106,1436621320120,973.0
107,1436621320137,973.0
108,1436621320159,974.0
109,1436621320177,974.0
110,1436621320199,973.0
111,1436621320217,973.0
112,1436621320241,974.0
113,1436621320261,974.0
114,1436621320280,975.0
115,1436621320299,975.0
116,1436621320323,975.0
117,1436621320352,976.0
118,1436621320358,976.0
119,1436621320381,976.0
120,1436621320400,976.0
121,1436621320419,977.0
122,1436621320441,977.0
123,1436621320460,977.0
124,1436621320478,977.0
125,1436621320501,977.0
126,1436621320521,977.0
127,1436621320541,976.0
128,1436621320564,976.0
129,1436621320580,978.0
130,1436621320602,978.0
131,1436621320622,979.0
132,1436621320642,979.0
133,1436621320662,979.0
134,1436621320682,979.0
135,1436621320702,978.0
136,1436621320719,977.0
137,1436621320742,977.0
138,1436621320759,977.0
139,1436621320780,977.0
140,1436621320798,977.0
141,1436621320824,977.0
142,1436621320844,978.0
143,1436621320865,978.0
144,1436621320882,978.0
145,1436621320898,978.0
146,1436621320920,979.0
147,1436621320941,979.0
148,1436621320962,980.0
149,1436621320979,980.0
150,1436621321039,982.0
151,1436621321050,982.0
152,1436621321051,982.0
153,1436621321060,982.0
154,1436621321079,983.0
155,1436621321100,984.0
156,1436621321119,984.0
157,1436621321144,985.0
158,1436621321161,985.0
159,1436621321180,986.0
160,1436621321201,986.0
161,1436621321220,988.0
162,1436621321243,988.0
163,1436621321262,987.0
164,1436621321282,987.0
165,1436621321302,987.0
166,1436621321322,987.0
167,1436621321342,988.0
168,1436621321362,988.0
169,1436621321382,986.0
170,1436621321402,986.0
171,1436621321420,985.0
172,1436621321441,985.0
173,1436621321460,983.0
174,1436621321482,980.0
175,1436621321501,980.0
176,1436621321520,978.0
177,1436621321539,978.0
178,1436621321565,975.0
179,1436621321585,975.0
180,1436621321605,973.0
181,1436621321623,973.0
182,1436621321641,971.0
183,1436621321662,971.0
184,1436621321681,970.0
185,1436621321702,970.0
186,1436621321724,971.0
187,1436621321791,971.0
188,1436621321792,972.0
189,1436621321793,972.0
190,1436621321800,972.0
191,1436621321820,972.0
192,1436621321842,973.0
193,1436621321859,973.0
194,1436621321880,972.0
195,1436621321902,970.0
196,1436621321921,970.0
197,1436621321943,969.0
198,1436621321960,969.0
199,1436621321983,967.0
200,1436621322000,967.0
201,1436621322023,965.0
202,1436621322043,965.0
203,1436621322064,963.0
204,1436621322083,963.0
205,1436621322103,963.0
206,1436621322123,963.0
207,1436621322143,962.0
208,1436621322165,962.0
209,1436621322180,962.0
210,1436621322203,962.0
211,1436621322221,962.0
212,1436621322240,962.0
213,1436621322260,962.0
214,1436621322285,962.0
215,1436621322306,962.0
216,1436621322326,962.0
217,1436621322343,962.0
218,1436621322361,961.0
219,1436621322381,961.0
220,1436621322401,959.0
221,1436621322423,959.0
222,1436621322440,960.0
223,1436621322494,960.0
224,1436621322496,961.0
225,1436621322511,961.0
226,1436621322521,961.0
227,1436621322545,961.0
228,1436621322562,962.0
229,1436621322582,962.0
230,1436621322602,963.0
231,1436621322621,963.0
232,1436621322643,964.0
233,1436621322661,964.0
234,1436621322684,964.0
235,1436621322703,966.0
236,1436621322724,966.0
237,1436621322744,965.0
238,1436621322764,965.0
239,1436621322784,966.0
240,1436621322804,966.0
241,1436621322824,966.0
242,1436621322843,966.0
243,1436621322864,968.0
244,1436621322883,968.0
245,1436621322904,968.0
246,1436621322924,968.0
247,1436621322941,970.0
248,1436621322963,970.0
249,1436621322983,970.0
250,1436621323005,970.0
251,1436621323025,971.0
252,1436621323045,973.0
253,1436621323064,973.0
254,1436621323081,974.0
255,1436621323103,974.0
256,1436621323123,974.0
257,1436621323143,974.0
258,1436621323164,974.0
259,1436621323216,974.0
260,1436621323217,975.0
261,1436621323232,975.0
262,1436621323241,975.0
263,1436621323266,975.0
264,1436621323282,975.0
265,1436621323302,975.0
266,1436621323323,975.0
267,1436621323342,975.0
268,1436621323362,975.0
269,1436621323382,975.0
270,1436621323404,976.0
271,1436621323421,976.0
272,1436621323444,976.0
273,1436621323464,976.0
274,1436621323484,976.0
275,1436621323504,976.0
276,1436621323524,976.0
277,1436621323544,977.0
278,1436621323564,977.0
279,1436621323584,978.0
280,1436621323603,978.0
281,1436621323625,978.0
282,1436621323645,978.0
283,1436621323665,976.0
284,1436621323685,976.0
285,1436621323705,976.0
286,1436621323724,976.0
287,1436621323762,975.0
288,1436621323763,975.0
289,1436621323785,974.0
290,1436621323805,974.0
291,1436621323823,973.0
292,1436621323842,971.0
293,1436621323862,971.0
294,1436621323931,971.0
295,1436621323932,971.0
296,1436621323933,971.0
297,1436621323951,971.0
298,1436621323962,971.0
299,1436621323985,971.0
