id,attr_time,attr_x,attr_y,attr_z
1,1436621318016,8.575,-41.897,12.408
2,1436621318037,8.575,-41.897,12.408
3,1436621318057,8.575,-41.897,12.408
4,1436621318077,8.575,-42.23,12.408
5,1436621318097,8.25,-42.23,12.408
6,1436621318116,8.25,-42.23,12.408
7,1436621318136,8.25,-42.23,12.408
8,1436621318156,8.25,-42.23,12.408
9,1436621318176,8.25,-42.23,12.408
10,1436621318197,8.25,-42.23,12.408
11,1436621318217,8.25,-42.23,12.408
12,1436621318237,8.25,-42.23,12.408
13,1436621318257,8.25,-42.23,12.408
14,1436621318277,8.25,-42.23,12.408
15,1436621318296,8.25,-42.23,12.408
16,1436621318317,8.25,-42.23,12.408
17,1436621318337,8.25,-42.23,12.408
18,1436621318357,8.25,-42.23,12.715
19,1436621318377,8.25,-42.23,12.715
20,1436621318397,8.25,-42.23,12.715
21,1436621318417,8.25,-42.23,12.715
22,1436621318437,8.25,-42.23,12.715
23,1436621318457,8.25,-42.23,12.715
24,1436621318477,7.94,-42.23,12.715
25,1436621318497,7.94,-42.23,12.715
26,1436621318517,7.94,-42.23,12.715
27,1436621318537,7.94,-42.23,12.715
28,1436621318557,7.94,-42.23,12.715
29,1436621318577,7.94,-42.23,12.715
30,1436621318597,7.94,-42.23,12.715
31,1436621318617,7.94,-42.23,12.715
32,1436621318637,7.94,-42.23,12.715
33,1436621318657,7.94,-42.23,12.715
34,1436621318677,7.94,-42.23,12.715
35,1436621318697,7.94,-42.23,12.715
36,1436621318717,7.94,-42.23,12.715
37,1436621318737,7.94,-42.23,12.715
38,1436621318757,7.94,-42.23,12.715
39,1436621318777,7.94,-42.23,12.715
40,1436621318797,7.94,-42.23,12.715
41,1436621318817,7.94,-42.23,13.029
42,1436621318837,7.94,-42.23,13.029
43,1436621318857,7.637,-42.23,13.029
44,1436621318877,7.637,-42.23,13.029
45,1436621318897,7.637,-42.23,13.029
46,1436621318917,7.637,-42.23,13.029
47,1436621318937,7.637,-42.23,13.029
48,1436621318957,7.637,-42.23,13.029
49,1436621318977,7.637,-42.23,13.029
50,1436621318997,7.637,-42.23,13.029
51,1436621319017,7.637,-42.23,13.029
52,1436621319037,7.637,-42.23,13.348
53,1436621319057,7.637,-42.23,13.348
54,1436621319077,7.637,-42.23,13.348
55,1436621319100,7.637,-42.23,13.348
56,1436621319118,7.637,-42.23,13.348
57,1436621319138,7.637,-42.23,13.348
58,1436621319157,7.637,-42.23,13.348
59,1436621319177,7.637,-42.23,13.348
60,1436621319197,7.637,-42.23,13.348
61,1436621319217,7.637,-42.23,13.348
62,1436621319238,7.637,-42.23,13.681
63,1436621319257,7.637,-42.23,13.681
64,1436621319278,7.637,-42.23,13.681
65,1436621319298,7.637,-42.23,13.681
66,1436621319318,7.637,-42.23,13.681
67,1436621319338,7.637,-42.23,13.681
68,1436621319358,7.637,-42.23,13.681
69,1436621319378,7.637,-42.23,13.681
70,1436621319398,7.637,-42.23,13.681
71,1436621319418,7.637,-42.23,13.681
72,1436621319438,7.637,-42.23,13.681
73,1436621319458,7.637,-42.23,13.681
74,1436621319478,7.637,-42.23,14.059
75,1436621319498,7.637,-42.23,14.059
76,1436621319518,7.637,-42.23,14.059
77,1436621319538,7.637,-42.23,14.059
78,1436621319558,7.965,-41.911,14.059
79,1436621319578,7.965,-41.911,14.059
80,1436621319598,7.965,-41.911,14.39
81,1436621319618,7.965,-41.911,14.39
82,1436621319639,7.965,-41.911,14.39
83,1436621319658,7.965,-41.911,14.39
84,1436621319678,7.965,-41.911,14.39
85,1436621319698,7.965,-41.911,14.39
86,1436621319718,7.965,-41.911,14.704
87,1436621319738,7.965,-41.911,14.704
88,1436621319758,7.965,-41.911,14.704
89,1436621319778,7.965,-41.911,14.704
90,1436621319798,7.965,-41.911,14.704
91,1436621319818,7.965,-41.911,14.704
92,1436621319838,7.965,-41.911,14.704
93,1436621319858,7.965,-41.911,14.704
94,1436621319878,7.965,-41.911,14.704
95,1436621319898,7.965,-41.911,14.704
96,1436621319923,7.965,-41.911,14.704
97,1436621319938,7.965,-41.911,14.704
98,1436621319958,7.965,-41.911,14.704
99,1436621319978,7.965,-41.911,14.704
100,1436621319998,7.965,-41.911,14.704
101,1436621320018,7.965,-41.911,14.704
102,1436621320038,7.965,-41.911,14.704
103,1436621320058,7.965,-41.911,14.704
104,1436621320078,7.965,-41.911,14.704
105,1436621320098,7.965,-41.911,14.704
106,1436621320119,7.965,-41.911,14.366
107,1436621320139,7.965,-41.911,14.366
108,1436621320159,7.965,-41.911,14.366
109,1436621320179,7.965,-41.911,14.366
110,1436621320198,7.965,-41.911,14.048
111,1436621320218,7.965,-41.911,14.048
112,1436621320238,7.965,-41.911,14.048
113,1436621320258,7.965,-41.911,14.048
114,1436621320278,7.965,-41.911,13.647
115,1436621320298,7.965,-41.911,13.647
116,1436621320318,7.965,-41.911,13.647
117,1436621320339,7.965,-41.911,13.647
118,1436621320359,7.965,-41.911,13.647
119,1436621320379,7.965,-41.911,13.346
120,1436621320399,7.965,-42.225,13.346
121,1436621320419,7.965,-42.225,13.346
122,1436621320439,7.965,-42.225,13.346
123,1436621320459,7.965,-42.225,13.346
124,1436621320479,7.965,-42.225,12.969
125,1436621320499,7.965,-42.225,12.969
126,1436621320519,7.965,-42.225,12.969
127,1436621320539,7.965,-42.225,12.969
128,1436621320559,7.965,-42.225,12.969
129,1436621320579,7.965,-42.225,12.969
130,1436621320599,7.965,-42.225,12.969
131,1436621320619,7.965,-42.225,12.969
132,1436621320639,7.965,-42.225,12.634
133,1436621320659,7.965,-42.225,12.634
134,1436621320679,7.965,-42.225,12.634
135,1436621320699,7.965,-42.225,12.634
136,1436621320719,7.965,-42.225,12.634
137,1436621320739,7.965,-42.225,12.634
138,1436621320759,7.965,-42.225,12.634
139,1436621320779,7.965,-42.225,12.634
140,1436621320799,7.965,-42.225,12.634
141,1436621320819,7.965,-42.225,12.634
142,1436621320839,7.965,-42.225,12.634
143,1436621320859,7.965,-42.225,12.634
144,1436621320879,7.965,-42.225,12.634
145,1436621320899,7.965,-42.225,12.634
146,1436621320919,7.965,-42.225,12.634
147,1436621320939,7.965,-42.225,12.634
148,1436621320959,7.965,-42.225,12.634
149,1436621320979,7.965,-42.529,12.634
150,1436621320999,7.965,-42.529,12.634
151,1436621321019,7.965,-42.529,12.634
152,1436621321039,7.965,-42.529,12.634
153,1436621321059,7.965,-42.529,12.634
154,1436621321079,7.965,-42.529,12.634
155,1436621321099,7.965,-42.529,12.634
156,1436621321119,7.965,-42.529,12.634
157,1436621321139,7.965,-42.529,12.634
158,1436621321159,7.965,-42.529,12.634
159,1436621321179,7.965,-42.529,12.634
160,1436621321199,7.965,-42.529,12.634
161,1436621321220,7.965,-42.529,12.634
162,1436621321240,7.965,-42.529,12.634
163,1436621321260,7.965,-42.529,12.634
164,1436621321279,7.965,-42.529,12.634
165,1436621321299,7.965,-42.529,12.634
166,1436621321319,7.965,-42.529,12.634
167,1436621321339,7.662,-42.529,12.634
168,1436621321359,7.662,-42.529,12.634
169,1436621321380,7.662,-42.529,12.634
170,1436621321399,7.662,-42.529,12.634
171,1436621321420,7.662,-42.529,13.011
172,1436621321440,7.662,-42.529,13.011
173,1436621321460,7.662,-42.529,13.011
174,1436621321480,7.662,-42.529,13.011
175,1436621321500,7.662,-42.529,13.011
176,1436621321520,7.662,-42.529,13.011
177,1436621321540,7.662,-42.529,13.356
178,1436621321560,7.662,-42.529,13.356
179,1436621321580,7.662,-42.529,13.356
180,1436621321600,7.662,-42.529,13.356
181,1436621321620,7.662,-42.529,13.356
182,1436621321640,7.662,-42.529,13.356
183,1436621321660,7.662,-42.529,13.673
184,1436621321680,7.662,-42.529,13.673
185,1436621321700,7.662,-42.228,13.673
186,1436621321720,7.662,-42.228,13.673
187,1436621321740,7.662,-42.228,13.673
188,1436621321760,7.662,-42.228,13.673
189,1436621321780,7.662,-42.228,13.673
190,1436621321800,7.662,-42.228,13.673
191,1436621321820,7.36,-42.228,13.673
192,1436621321840,7.36,-42.228,13.673
193,1436621321860,7.36,-42.228,13.673
194,1436621321880,7.36,-42.228,13.673
195,1436621321900,7.36,-42.228,13.673
196,1436621321920,7.36,-42.228,13.673
197,1436621321940,7.36,-42.228,13.673
198,1436621321960,7.36,-42.228,13.673
199,1436621321980,7.36,-42.228,13.673
200,1436621322000,7.36,-42.228,13.673
201,1436621322020,7.36,-42.228,13.368
202,1436621322040,7.36,-42.228,13.368
203,1436621322060,7.36,-42.228,13.368
204,1436621322080,7.36,-42.228,13.368
205,1436621322100,7.36,-42.228,13.368
206,1436621322120,7.36,-42.228,13.368
207,1436621322140,7.36,-42.228,13.368
208,1436621322161,7.36,-42.228,13.059
209,1436621322180,7.36,-42.228,13.059
210,1436621322200,7.36,-42.228,13.059
211,1436621322220,7.36,-42.228,13.059
212,1436621322243,7.36,-42.228,13.059
