id,attr_time,attr_light
1,1436624160035,644.0
2,1436624160053,644.0
3,1436624160081,650.0
4,1436624160096,650.0
5,1436624160114,649.0
6,1436624160135,649.0
7,1436624160155,644.0
8,1436624160176,644.0
9,1436624160195,641.0
10,1436624160275,641.0
11,1436624160276,644.0
12,1436624160277,647.0
13,1436624160278,647.0
14,1436624160296,646.0
15,1436624160317,646.0
16,1436624160334,638.0
17,1436624160353,638.0
18,1436624160387,631.0
19,1436624160395,631.0
20,1436624160420,632.0
21,1436624160435,632.0
22,1436624160457,633.0
23,1436624160477,633.0
24,1436624160494,638.0
25,1436624160517,640.0
26,1436624160537,640.0
27,1436624160557,640.0
28,1436624160577,640.0
29,1436624160594,642.0
30,1436624160617,642.0
31,1436624160637,639.0
32,1436624160655,639.0
33,1436624160675,641.0
34,1436624160697,641.0
35,1436624160715,640.0
36,1436624160734,640.0
37,1436624160756,639.0
38,1436624160779,639.0
39,1436624160800,642.0
40,1436624160820,641.0
41,1436624160837,641.0
42,1436624160854,639.0
43,1436624160874,639.0
44,1436624160893,640.0
45,1436624160924,640.0
46,1436624160988,639.0
47,1436624160989,639.0
48,1436624160990,638.0
49,1436624161009,638.0
50,1436624161013,637.0
51,1436624161035,637.0
52,1436624161057,637.0
53,1436624161074,637.0
54,1436624161097,634.0
55,1436624161114,630.0
56,1436624161135,630.0
57,1436624161155,628.0
58,1436624161175,628.0
59,1436624161198,627.0
60,1436624161216,627.0
61,1436624161237,628.0
62,1436624161257,628.0
63,1436624161276,627.0
64,1436624161298,627.0
65,1436624161314,628.0
66,1436624161337,628.0
67,1436624161357,629.0
68,1436624161377,629.0
69,1436624161396,627.0
70,1436624161416,623.0
71,1436624161437,623.0
72,1436624161457,618.0
73,1436624161477,618.0
74,1436624161496,618.0
75,1436624161519,618.0
76,1436624161538,617.0
77,1436624161558,617.0
78,1436624161578,619.0
79,1436624161596,619.0
80,1436624161616,620.0
81,1436624161637,620.0
82,1436624161656,616.0
83,1436624161727,616.0
84,1436624161728,613.0
85,1436624161729,611.0
86,1436624161739,611.0
87,1436624161754,610.0
88,1436624161775,610.0
89,1436624161796,608.0
90,1436624161815,608.0
91,1436624161839,607.0
92,1436624161856,607.0
93,1436624161876,606.0
94,1436624161896,606.0
95,1436624161916,610.0
96,1436624161937,610.0
97,1436624161959,611.0
98,1436624161978,608.0
99,1436624161998,608.0
100,1436624162018,607.0
101,1436624162036,607.0
102,1436624162059,605.0
103,1436624162078,605.0
104,1436624162098,608.0
105,1436624162118,608.0
106,1436624162135,609.0
107,1436624162158,609.0
108,1436624162178,612.0
109,1436624162198,612.0
110,1436624162218,616.0
111,1436624162236,616.0
112,1436624162258,616.0
113,1436624162278,616.0
114,1436624162299,616.0
115,1436624162318,618.0
116,1436624162337,618.0
117,1436624162359,619.0
118,1436624162376,619.0
119,1436624162402,622.0
120,1436624162477,622.0
121,1436624162478,626.0
122,1436624162479,626.0
123,1436624162480,629.0
124,1436624162498,629.0
125,1436624162523,633.0
126,1436624162536,633.0
127,1436624162555,637.0
128,1436624162578,640.0
129,1436624162596,640.0
130,1436624162620,645.0
131,1436624162639,645.0
132,1436624162656,650.0
133,1436624162676,650.0
134,1436624162699,651.0
135,1436624162719,651.0
136,1436624162739,652.0
137,1436624162759,652.0
138,1436624162804,653.0
139,1436624162805,653.0
140,1436624162819,658.0
141,1436624162839,658.0
142,1436624162859,661.0
143,1436624162878,663.0
144,1436624162899,663.0
145,1436624162916,666.0
146,1436624162936,666.0
147,1436624162957,669.0
148,1436624162981,669.0
149,1436624163001,672.0
150,1436624163022,672.0
151,1436624163039,673.0
152,1436624163057,673.0
153,1436624163077,670.0
154,1436624163096,670.0
155,1436624163117,670.0
156,1436624163139,676.0
157,1436624163196,676.0
158,1436624163206,679.0
159,1436624163207,679.0
160,1436624163216,677.0
161,1436624163244,677.0
162,1436624163260,678.0
163,1436624163284,678.0
164,1436624163306,679.0
165,1436624163330,679.0
166,1436624163336,675.0
167,1436624163377,675.0
168,1436624163378,674.0
169,1436624163399,674.0
170,1436624163419,675.0
171,1436624163437,672.0
172,1436624163459,672.0
173,1436624163480,670.0
174,1436624163499,670.0
175,1436624163519,672.0
176,1436624163539,672.0
177,1436624163560,672.0
178,1436624163580,672.0
179,1436624163599,672.0
180,1436624163620,672.0
181,1436624163640,668.0
182,1436624163657,668.0
183,1436624163676,665.0
184,1436624163697,665.0
185,1436624163717,669.0
186,1436624163737,671.0
187,1436624163760,671.0
188,1436624163792,670.0
189,1436624163800,670.0
190,1436624163816,668.0
191,1436624163836,668.0
192,1436624163857,669.0
193,1436624163878,669.0
194,1436624163897,670.0
195,1436624163916,670.0
196,1436624163949,673.0
197,1436624163960,673.0
198,1436624163977,673.0
199,1436624163997,673.0
200,1436624164017,669.0
201,1436624164038,668.0
202,1436624164058,668.0
203,1436624164092,671.0
204,1436624164108,671.0
205,1436624164117,675.0
206,1436624164137,675.0
207,1436624164158,674.0
208,1436624164177,674.0
209,1436624164197,672.0
210,1436624164217,672.0
211,1436624164237,670.0
212,1436624164256,670.0
213,1436624164276,669.0
214,1436624164295,667.0
215,1436624164317,667.0
216,1436624164336,666.0
217,1436624164357,666.0
218,1436624164377,665.0
219,1436624164396,665.0
220,1436624164417,671.0
221,1436624164437,671.0
222,1436624164457,674.0
223,1436624164476,674.0
224,1436624164496,674.0
225,1436624164518,674.0
226,1436624164538,673.0
227,1436624164557,673.0
228,1436624164577,674.0
229,1436624164597,675.0
230,1436624164617,675.0
231,1436624164637,670.0
232,1436624164658,670.0
233,1436624164677,667.0
234,1436624164696,667.0
235,1436624164717,668.0
236,1436624164736,668.0
237,1436624164759,666.0
238,1436624164778,666.0
239,1436624164799,666.0
240,1436624164819,666.0
241,1436624164837,668.0
242,1436624164859,668.0
243,1436624164881,665.0
244,1436624164901,664.0
245,1436624164919,664.0
246,1436624164941,667.0
247,1436624164961,667.0
248,1436624164979,667.0
249,1436624164999,667.0
250,1436624165018,664.0
251,1436624165039,664.0
252,1436624165058,661.0
253,1436624165079,661.0
254,1436624165098,655.0
255,1436624165118,655.0
256,1436624165141,645.0
257,1436624165162,645.0
258,1436624165179,641.0
259,1436624165197,642.0
260,1436624165218,642.0
261,1436624165238,641.0
262,1436624165258,641.0
263,1436624165278,640.0
264,1436624165325,640.0
265,1436624165329,639.0
266,1436624165340,639.0
267,1436624165358,637.0
268,1436624165378,637.0
269,1436624165398,640.0
270,1436624165418,640.0
271,1436624165438,640.0
272,1436624165458,640.0
273,1436624165479,641.0
274,1436624165499,640.0
275,1436624165520,640.0
276,1436624165539,638.0
277,1436624165561,638.0
278,1436624165579,636.0
279,1436624165601,636.0
280,1436624165619,639.0
281,1436624165639,639.0
282,1436624165661,641.0
283,1436624165679,641.0
284,1436624165702,641.0
285,1436624165719,641.0
286,1436624165746,642.0
287,1436624165759,645.0
288,1436624165789,645.0
289,1436624165801,650.0
290,1436624165821,650.0
291,1436624165839,651.0
292,1436624165858,651.0
293,1436624165879,651.0
294,1436624165899,651.0
295,1436624165921,651.0
296,1436624165938,651.0
297,1436624165958,647.0
298,1436624165980,647.0
299,1436624166062,646.0
300,1436624166063,646.0
301,1436624166064,648.0
302,1436624166065,648.0
303,1436624166081,648.0
304,1436624166099,645.0
305,1436624166128,645.0
306,1436624166139,645.0
307,1436624166159,645.0
308,1436624166179,646.0
309,1436624166199,646.0
310,1436624166220,644.0
311,1436624166239,644.0
312,1436624166258,642.0
313,1436624166278,642.0
314,1436624166298,642.0
315,1436624166318,642.0
316,1436624166338,647.0
317,1436624166358,645.0
318,1436624166379,645.0
319,1436624166399,647.0
320,1436624166418,647.0
321,1436624166438,650.0
322,1436624166459,650.0
323,1436624166478,648.0
324,1436624166498,648.0
325,1436624166518,644.0
326,1436624166538,644.0
327,1436624166558,645.0
328,1436624166578,645.0
329,1436624166598,644.0
330,1436624166618,644.0
331,1436624166639,641.0
332,1436624166659,640.0
333,1436624166679,640.0
334,1436624166700,640.0
335,1436624166720,640.0
336,1436624166753,637.0
337,1436624166773,637.0
338,1436624166780,636.0
339,1436624166799,636.0
340,1436624166819,634.0
341,1436624166839,634.0
342,1436624166859,634.0
343,1436624166885,634.0
344,1436624166899,636.0
345,1436624167027,637.0
346,1436624167028,637.0
347,1436624167029,637.0
348,1436624167030,637.0
349,1436624167031,637.0
350,1436624167032,637.0
351,1436624167039,637.0
352,1436624167059,637.0
353,1436624167079,639.0
354,1436624167099,639.0
355,1436624167119,638.0
356,1436624167140,638.0
357,1436624167159,635.0
358,1436624167179,635.0
359,1436624167199,634.0
360,1436624167219,635.0
361,1436624167239,635.0
362,1436624167259,634.0
363,1436624167279,634.0
364,1436624167299,632.0
365,1436624167319,632.0
366,1436624167339,630.0
367,1436624167359,630.0
368,1436624167379,630.0
369,1436624167400,630.0
370,1436624167419,632.0
371,1436624167439,632.0
372,1436624167464,630.0
373,1436624167491,630.0
374,1436624167500,630.0
375,1436624167519,629.0
376,1436624167540,629.0
377,1436624167561,629.0
378,1436624167579,629.0
379,1436624167600,630.0
380,1436624167620,630.0
381,1436624167639,630.0
382,1436624167660,630.0
383,1436624167683,631.0
384,1436624167699,631.0
385,1436624167723,630.0
386,1436624167743,630.0
387,1436624167763,629.0
388,1436624167783,629.0
389,1436624167804,629.0
390,1436624167824,628.0
391,1436624167841,628.0
392,1436624167864,627.0
393,1436624167884,627.0
394,1436624167904,628.0
395,1436624167924,628.0
396,1436624167944,630.0
397,1436624167962,630.0
398,1436624167984,629.0
399,1436624168003,629.0
400,1436624168023,626.0
401,1436624168044,626.0
402,1436624168061,622.0
403,1436624168081,619.0
404,1436624168107,619.0
405,1436624168151,622.0
406,1436624168152,622.0
407,1436624168163,622.0
408,1436624168185,622.0
409,1436624168200,622.0
410,1436624168221,622.0
411,1436624168240,622.0
412,1436624168260,622.0
413,1436624168281,622.0
414,1436624168302,622.0
415,1436624168321,621.0
416,1436624168341,621.0
417,1436624168362,620.0
418,1436624168383,622.0
419,1436624168404,622.0
420,1436624168424,624.0
421,1436624168444,624.0
422,1436624168465,625.0
423,1436624168484,625.0
424,1436624168506,626.0
425,1436624168522,626.0
426,1436624168544,623.0
427,1436624168566,623.0
428,1436624168585,619.0
429,1436624168605,619.0
430,1436624168624,615.0
431,1436624168643,615.0
432,1436624168664,613.0
433,1436624168685,613.0
434,1436624168705,613.0
435,1436624168725,612.0
436,1436624168745,612.0
437,1436624168764,609.0
438,1436624168788,609.0
439,1436624168855,609.0
440,1436624168856,609.0
441,1436624168857,610.0
442,1436624168863,610.0
443,1436624168893,608.0
444,1436624168906,608.0
445,1436624168921,605.0
446,1436624168942,605.0
447,1436624168961,605.0
448,1436624168985,604.0
449,1436624169003,604.0
450,1436624169023,605.0
451,1436624169055,605.0
452,1436624169070,608.0
453,1436624169082,608.0
454,1436624169105,608.0
455,1436624169122,608.0
456,1436624169142,607.0
457,1436624169162,607.0
458,1436624169182,608.0
459,1436624169202,608.0
460,1436624169233,607.0
461,1436624169248,607.0
462,1436624169262,608.0
463,1436624169281,613.0
464,1436624169301,613.0
465,1436624169321,618.0
466,1436624169341,618.0
467,1436624169361,616.0
468,1436624169381,616.0
469,1436624169403,613.0
470,1436624169421,613.0
471,1436624169445,614.0
472,1436624169465,614.0
473,1436624169482,617.0
474,1436624169536,617.0
475,1436624169537,622.0
476,1436624169541,624.0
477,1436624169561,624.0
478,1436624169582,624.0
479,1436624169603,624.0
480,1436624169623,622.0
481,1436624169643,622.0
482,1436624169663,620.0
483,1436624169685,620.0
484,1436624169701,622.0
485,1436624169726,622.0
486,1436624169745,624.0
487,1436624169764,624.0
488,1436624169784,624.0
489,1436624169803,624.0
490,1436624169824,620.0
491,1436624169845,619.0
492,1436624169865,619.0
493,1436624169884,621.0
494,1436624169903,621.0
495,1436624169926,621.0
496,1436624169946,621.0
497,1436624169966,621.0
498,1436624169985,621.0
499,1436624170003,619.0
500,1436624170023,619.0
501,1436624170043,617.0
502,1436624170066,617.0
503,1436624170087,620.0
504,1436624170105,620.0
505,1436624170125,624.0
506,1436624170142,624.0
507,1436624170174,624.0
508,1436624170190,623.0
509,1436624170205,623.0
510,1436624170223,619.0
511,1436624170243,619.0
512,1436624170262,618.0
513,1436624170286,618.0
514,1436624170306,620.0
515,1436624170324,620.0
516,1436624170344,621.0
517,1436624170366,621.0
518,1436624170383,620.0
519,1436624170406,620.0
520,1436624170426,621.0
521,1436624170446,625.0
522,1436624170466,625.0
523,1436624170486,627.0
524,1436624170507,627.0
525,1436624170526,626.0
526,1436624170545,626.0
527,1436624170566,626.0
528,1436624170586,626.0
529,1436624170604,624.0
530,1436624170624,624.0
531,1436624170647,622.0
532,1436624170667,622.0
533,1436624170688,618.0
534,1436624170736,617.0
535,1436624170737,617.0
536,1436624170743,617.0
537,1436624170764,617.0
538,1436624170783,616.0
539,1436624170855,616.0
540,1436624170856,613.0
541,1436624170857,613.0
542,1436624170869,612.0
543,1436624170890,612.0
544,1436624170903,612.0
545,1436624170925,612.0
546,1436624170944,615.0
547,1436624170965,615.0
548,1436624170988,622.0
549,1436624171005,628.0
550,1436624171024,628.0
551,1436624171044,630.0
552,1436624171065,630.0
553,1436624171083,631.0
554,1436624171107,631.0
555,1436624171125,631.0
556,1436624171148,631.0
557,1436624171167,629.0
558,1436624171187,629.0
559,1436624171207,629.0
560,1436624171227,629.0
561,1436624171247,634.0
562,1436624171267,634.0
563,1436624171289,638.0
564,1436624171305,638.0
565,1436624171327,638.0
566,1436624171344,635.0
567,1436624171364,635.0
568,1436624171384,634.0
569,1436624171410,634.0
570,1436624171431,636.0
571,1436624171450,636.0
572,1436624171467,635.0
573,1436624171485,635.0
574,1436624171505,633.0
575,1436624171525,633.0
576,1436624171544,629.0
577,1436624171564,629.0
578,1436624171646,628.0
579,1436624171647,629.0
580,1436624171648,629.0
581,1436624171649,632.0
582,1436624171666,632.0
583,1436624171688,635.0
584,1436624171704,635.0
585,1436624171730,637.0
586,1436624171756,637.0
