id,attr_time,attr_light
1,1436624160017,5.0
2,1436624160037,5.0
3,1436624160057,5.0
4,1436624160078,5.0
5,1436624160097,5.0
6,1436624160118,5.0
7,1436624160137,5.0
8,1436624160157,5.0
9,1436624160179,6.0
10,1436624160200,6.0
11,1436624160221,6.0
12,1436624160240,6.0
13,1436624160260,5.0
14,1436624160279,5.0
15,1436624160300,5.0
16,1436624160321,6.0
17,1436624160342,6.0
18,1436624160359,7.0
19,1436624160379,7.0
20,1436624160403,7.0
21,1436624160423,7.0
22,1436624160442,7.0
23,1436624160461,7.0
24,1436624160477,8.0
25,1436624160500,8.0
26,1436624160517,7.0
27,1436624160548,7.0
28,1436624160566,6.0
29,1436624160584,6.0
30,1436624160601,7.0
31,1436624160761,7.0
32,1436624160762,7.0
33,1436624160763,7.0
34,1436624160764,7.0
35,1436624160765,7.0
36,1436624160766,9.0
37,1436624160767,9.0
38,1436624160768,9.0
39,1436624160787,9.0
40,1436624160845,9.0
41,1436624160846,9.0
42,1436624160847,9.0
43,1436624160867,10.0
44,1436624160878,10.0
45,1436624160903,14.0
46,1436624160918,14.0
47,1436624160937,17.0
48,1436624160957,17.0
49,1436624160979,17.0
50,1436624160997,17.0
51,1436624161017,16.0
52,1436624161041,16.0
53,1436624161060,15.0
54,1436624161081,15.0
55,1436624161099,14.0
56,1436624161118,14.0
57,1436624161139,15.0
58,1436624161158,15.0
59,1436624161181,16.0
60,1436624161200,16.0
61,1436624161221,16.0
62,1436624161241,16.0
63,1436624161260,17.0
64,1436624161279,17.0
65,1436624161297,16.0
66,1436624161320,16.0
67,1436624161341,16.0
68,1436624161359,10.0
69,1436624161380,10.0
70,1436624161398,11.0
71,1436624161461,11.0
72,1436624161462,11.0
73,1436624161463,11.0
74,1436624161481,12.0
75,1436624161502,12.0
76,1436624161518,13.0
77,1436624161538,13.0
78,1436624161560,13.0
79,1436624161580,13.0
80,1436624161600,10.0
81,1436624161619,10.0
82,1436624161645,9.0
83,1436624161660,9.0
84,1436624161682,13.0
85,1436624161701,13.0
86,1436624161720,16.0
87,1436624161742,16.0
88,1436624161762,17.0
89,1436624161782,17.0
90,1436624161801,16.0
91,1436624161821,16.0
92,1436624161841,16.0
93,1436624161859,17.0
94,1436624161882,17.0
95,1436624161901,20.0
96,1436624161923,20.0
97,1436624161942,19.0
98,1436624161962,19.0
99,1436624161982,18.0
100,1436624162002,18.0
101,1436624162022,17.0
102,1436624162043,17.0
103,1436624162062,17.0
104,1436624162083,17.0
105,1436624162101,16.0
106,1436624162122,16.0
107,1436624162193,18.0
108,1436624162194,18.0
109,1436624162195,21.0
110,1436624162201,21.0
111,1436624162231,20.0
112,1436624162242,20.0
113,1436624162259,19.0
114,1436624162280,19.0
115,1436624162299,19.0
116,1436624162324,19.0
117,1436624162340,18.0
118,1436624162361,18.0
119,1436624162379,18.0
120,1436624162402,20.0
121,1436624162424,20.0
122,1436624162439,19.0
123,1436624162462,19.0
124,1436624162482,18.0
125,1436624162503,18.0
126,1436624162522,21.0
127,1436624162541,21.0
128,1436624162563,22.0
129,1436624162580,22.0
130,1436624162603,20.0
131,1436624162623,20.0
132,1436624162677,17.0
133,1436624162678,17.0
134,1436624162680,13.0
135,1436624162702,13.0
136,1436624162723,8.0
137,1436624162743,8.0
138,1436624162763,8.0
139,1436624162783,8.0
140,1436624162806,12.0
141,1436624162820,12.0
142,1436624162948,13.0
143,1436624162949,13.0
144,1436624162950,13.0
145,1436624162951,14.0
146,1436624162952,14.0
147,1436624162953,13.0
148,1436624162972,13.0
149,1436624162980,12.0
150,1436624163002,12.0
151,1436624163021,10.0
152,1436624163040,10.0
153,1436624163060,8.0
154,1436624163080,8.0
155,1436624163104,7.0
156,1436624163126,7.0
157,1436624163141,6.0
158,1436624163164,6.0
159,1436624163183,6.0
160,1436624163203,6.0
161,1436624163223,6.0
162,1436624163243,6.0
163,1436624163263,5.0
164,1436624163283,5.0
165,1436624163303,6.0
166,1436624163323,6.0
167,1436624163343,6.0
168,1436624163361,6.0
169,1436624163382,7.0
170,1436624163403,7.0
171,1436624163421,7.0
172,1436624163442,7.0
173,1436624163463,7.0
174,1436624163486,8.0
175,1436624163506,8.0
176,1436624163526,8.0
177,1436624163543,8.0
178,1436624163561,8.0
179,1436624163580,8.0
180,1436624163603,6.0
181,1436624163622,6.0
182,1436624163644,7.0
183,1436624163711,7.0
184,1436624163712,8.0
185,1436624163713,8.0
186,1436624163721,11.0
187,1436624163741,11.0
188,1436624163762,12.0
189,1436624163781,12.0
190,1436624163801,11.0
191,1436624163822,11.0
192,1436624163842,11.0
193,1436624163861,11.0
194,1436624163883,10.0
195,1436624163900,10.0
196,1436624163924,10.0
197,1436624163941,10.0
198,1436624163963,10.0
199,1436624163985,10.0
200,1436624164004,10.0
201,1436624164024,10.0
202,1436624164044,10.0
203,1436624164064,9.0
204,1436624164094,9.0
205,1436624164107,10.0
206,1436624164121,10.0
207,1436624164145,11.0
208,1436624164162,11.0
209,1436624164183,10.0
210,1436624164202,10.0
211,1436624164224,9.0
212,1436624164244,9.0
213,1436624164264,9.0
214,1436624164284,9.0
215,1436624164305,10.0
216,1436624164322,10.0
217,1436624164343,9.0
218,1436624164361,9.0
219,1436624164381,9.0
220,1436624164436,9.0
221,1436624164439,9.0
222,1436624164442,9.0
223,1436624164461,9.0
224,1436624164484,8.0
225,1436624164506,8.0
226,1436624164523,8.0
227,1436624164543,8.0
228,1436624164564,7.0
229,1436624164583,7.0
230,1436624164603,7.0
231,1436624164622,7.0
232,1436624164644,6.0
