id,attr_time,attr_light
1,1436620141507,266.0
2,1436620141525,267.0
3,1436620141546,267.0
4,1436620141564,267.0
5,1436620141693,267.0
6,1436620141694,267.0
7,1436620141695,267.0
8,1436620141696,267.0
9,1436620141697,266.0
10,1436620141701,266.0
11,1436620141707,266.0
12,1436620141725,266.0
13,1436620141750,266.0
14,1436620141763,266.0
15,1436620141785,265.0
16,1436620141805,265.0
17,1436620141824,265.0
18,1436620141845,264.0
19,1436620141864,264.0
20,1436620141884,263.0
21,1436620141907,263.0
22,1436620141927,263.0
23,1436620141948,263.0
24,1436620141966,263.0
25,1436620141986,263.0
26,1436620142004,263.0
27,1436620142025,263.0
28,1436620142047,263.0
29,1436620142068,263.0
30,1436620142085,263.0
31,1436620142106,263.0
32,1436620142127,263.0
33,1436620142147,263.0
34,1436620142164,263.0
35,1436620142184,262.0
36,1436620142205,262.0
37,1436620142229,262.0
38,1436620142250,262.0
39,1436620142267,262.0
40,1436620142441,261.0
41,1436620142445,261.0
42,1436620142446,261.0
43,1436620142447,261.0
44,1436620142448,262.0
45,1436620142449,262.0
46,1436620142450,262.0
47,1436620142451,262.0
48,1436620142452,262.0
49,1436620142489,262.0
50,1436620142490,262.0
51,1436620142580,261.0
52,1436620142581,261.0
53,1436620142582,261.0
54,1436620142583,261.0
55,1436620142617,262.0
56,1436620142618,262.0
57,1436620142625,262.0
58,1436620142647,262.0
59,1436620142665,262.0
60,1436620142685,262.0
61,1436620142705,262.0
62,1436620142728,262.0
63,1436620142748,262.0
64,1436620142768,261.0
65,1436620142786,261.0
66,1436620142805,261.0
67,1436620142825,261.0
68,1436620142847,261.0
69,1436620142868,261.0
70,1436620142887,261.0
71,1436620142907,261.0
72,1436620142929,261.0
73,1436620142947,261.0
74,1436620142966,261.0
75,1436620142985,261.0
76,1436620143008,261.0
77,1436620143028,260.0
78,1436620143048,260.0
79,1436620143068,259.0
80,1436620143112,258.0
81,1436620143113,258.0
82,1436620143127,257.0
83,1436620143146,257.0
84,1436620143164,255.0
85,1436620143187,255.0
86,1436620143206,255.0
87,1436620143226,255.0
88,1436620143246,255.0
89,1436620143267,255.0
90,1436620143289,255.0
91,1436620143308,255.0
92,1436620143326,255.0
93,1436620143346,254.0
94,1436620143365,254.0
95,1436620143387,254.0
96,1436620143408,254.0
97,1436620143428,254.0
98,1436620143446,254.0
99,1436620143465,255.0
100,1436620143485,255.0
101,1436620143517,255.0
102,1436620143557,256.0
103,1436620143558,256.0
104,1436620143579,257.0
105,1436620143594,257.0
106,1436620143610,257.0
107,1436620143628,257.0
108,1436620143647,257.0
109,1436620143666,257.0
110,1436620143689,257.0
111,1436620143710,258.0
112,1436620143731,258.0
113,1436620143751,258.0
114,1436620143852,258.0
115,1436620143853,258.0
116,1436620143854,258.0
117,1436620143855,258.0
118,1436620143856,258.0
119,1436620143881,258.0
120,1436620143887,258.0
121,1436620143927,257.0
122,1436620143928,256.0
123,1436620143946,256.0
124,1436620143980,255.0
125,1436620144017,255.0
126,1436620144021,254.0
127,1436620144046,254.0
128,1436620144047,254.0
129,1436620144066,254.0
130,1436620144089,252.0
131,1436620144106,252.0
132,1436620144131,250.0
133,1436620144154,249.0
134,1436620144166,249.0
135,1436620144187,247.0
136,1436620144205,247.0
137,1436620144225,247.0
138,1436620144245,247.0
139,1436620144265,247.0
140,1436620144285,247.0
141,1436620144305,248.0
142,1436620144325,248.0
143,1436620144351,249.0
144,1436620144365,252.0
145,1436620144385,252.0
146,1436620144405,256.0
147,1436620144425,256.0
148,1436620144445,255.0
149,1436620144465,255.0
150,1436620144485,251.0
151,1436620144505,251.0
152,1436620144525,247.0
153,1436620144545,247.0
154,1436620144565,243.0
155,1436620144585,236.0
156,1436620144605,236.0
157,1436620144625,225.0
158,1436620144645,225.0
159,1436620144665,214.0
160,1436620144685,214.0
161,1436620144706,211.0
162,1436620144729,211.0
163,1436620144749,219.0
164,1436620144769,224.0
165,1436620144787,224.0
166,1436620144807,225.0
167,1436620144828,225.0
168,1436620144851,223.0
169,1436620144871,223.0
170,1436620144890,220.0
171,1436620144910,220.0
172,1436620144928,217.0
173,1436620144948,217.0
174,1436620144969,215.0
175,1436620144990,212.0
176,1436620145009,212.0
177,1436620145028,209.0
178,1436620145056,209.0
179,1436620145068,207.0
180,1436620145087,207.0
181,1436620145108,207.0
182,1436620145128,207.0
183,1436620145147,206.0
184,1436620145166,206.0
185,1436620145190,205.0
186,1436620145208,207.0
187,1436620145230,207.0
188,1436620145252,208.0
189,1436620145269,208.0
190,1436620145288,208.0
191,1436620145307,208.0
192,1436620145327,204.0
193,1436620145349,204.0
194,1436620145369,188.0
195,1436620145392,188.0
196,1436620145411,187.0
197,1436620145434,188.0
198,1436620145454,188.0
199,1436620145474,192.0
200,1436620145491,192.0
201,1436620145509,203.0
202,1436620145530,203.0
