id,attr_time,attr_light
1,1436620141522,301.0
2,1436620141543,301.0
3,1436620141564,301.0
4,1436620141583,301.0
5,1436620141604,301.0
6,1436620141620,301.0
7,1436620141643,301.0
8,1436620141664,301.0
9,1436620141683,301.0
10,1436620141704,301.0
11,1436620141724,301.0
12,1436620141742,301.0
13,1436620141763,301.0
14,1436620141784,301.0
15,1436620141801,301.0
16,1436620141820,301.0
17,1436620141870,302.0
18,1436620141871,302.0
19,1436620141891,303.0
20,1436620141900,303.0
21,1436620141923,303.0
22,1436620141942,303.0
23,1436620141961,305.0
24,1436620141982,305.0
25,1436620142000,305.0
26,1436620142024,306.0
27,1436620142044,306.0
28,1436620142061,307.0
29,1436620142080,307.0
30,1436620142104,307.0
31,1436620142124,307.0
32,1436620142144,306.0
33,1436620142164,306.0
34,1436620142183,305.0
35,1436620142204,305.0
36,1436620142224,303.0
37,1436620142244,302.0
38,1436620142261,302.0
39,1436620142284,302.0
40,1436620142304,302.0
41,1436620142326,301.0
42,1436620142346,301.0
43,1436620142361,301.0
44,1436620142384,301.0
45,1436620142403,302.0
46,1436620142421,302.0
47,1436620142441,303.0
48,1436620142463,303.0
49,1436620142487,303.0
50,1436620142507,303.0
51,1436620142523,302.0
52,1436620142544,301.0
53,1436620142598,301.0
54,1436620142599,301.0
55,1436620142617,301.0
56,1436620142624,300.0
57,1436620142641,300.0
58,1436620142664,300.0
59,1436620142681,300.0
60,1436620142701,298.0
61,1436620142721,298.0
62,1436620142745,297.0
63,1436620142766,297.0
64,1436620142782,296.0
65,1436620142806,296.0
66,1436620142825,295.0
67,1436620142845,294.0
68,1436620142865,294.0
69,1436620142885,294.0
70,1436620142905,294.0
71,1436620142925,293.0
72,1436620142945,293.0
73,1436620142965,293.0
74,1436620142984,293.0
75,1436620143002,292.0
76,1436620143025,292.0
77,1436620143045,292.0
78,1436620143064,292.0
79,1436620143082,292.0
80,1436620143105,293.0
81,1436620143125,293.0
82,1436620143145,295.0
83,1436620143165,295.0
84,1436620143184,296.0
85,1436620143205,296.0
86,1436620143225,296.0
87,1436620143245,296.0
88,1436620143266,298.0
89,1436620143329,298.0
90,1436620143330,301.0
91,1436620143340,301.0
92,1436620143343,305.0
93,1436620143364,305.0
94,1436620143386,310.0
95,1436620143402,312.0
96,1436620143422,312.0
