model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,experiment
RandomForest,0.7323717379779935,0.14705517613982522,0.7340807649980337,0.17677329556732319,0.7369781019995327,0.14480791267577825,0.6912001987630754,0.1678375262882274,only_chest
SVM,0.7380447444133418,0.19020450052892765,0.7315282716607528,0.1957406237714194,0.7395686105880451,0.18851624503453607,0.7115827429561761,0.19613398629287118,only_chest
XGBoost,0.7337510813513713,0.1564164253125115,0.7346031311094433,0.18552757522469862,0.7397918591661234,0.15191509731564187,0.695448412401587,0.17527404450240866,only_chest
RandomForest,0.8211143707672813,0.09756559335037597,0.8404610020172832,0.08800026565793315,0.825803855908298,0.09312970343749104,0.8061700386859427,0.1059428688120506,only_forearm
SVM,0.8322249015961029,0.11915395489969718,0.8414319997454587,0.10968853707008673,0.8357712200020906,0.11626129415750738,0.8195835306055058,0.12926846494278066,only_forearm
XGBoost,0.826559371559275,0.11507252622848242,0.8366458085099672,0.10764808743770518,0.8303052178324715,0.11272929905968407,0.8134461886659243,0.12268948824798367,only_forearm
RandomForest,0.7194028561186915,0.12894645959652765,0.7086741947188934,0.14250307828551792,0.7240203657660877,0.13146328498325552,0.6932023176288078,0.13787047190178878,only_head
SVM,0.6783875690857303,0.1489272022884871,0.6793952312357897,0.15076476803633532,0.6825170282016966,0.14846433949720877,0.6574487159934134,0.1525479196505152,only_head
XGBoost,0.7015045855261764,0.12271759043407071,0.6835183115932625,0.12897021284411453,0.7051786497774052,0.12737224049355808,0.6705746185510549,0.1309893651251142,only_head
RandomForest,0.781496605912864,0.16677322533338465,0.7965404932386699,0.16925905613092931,0.7828304231128647,0.1656595949177018,0.7674855518212964,0.18339444605204858,only_shin
SVM,0.773547901896139,0.16300986320895863,0.7940417277617926,0.18750786796254723,0.7759834593152222,0.16158636387665573,0.7558751066736671,0.18693843158670612,only_shin
XGBoost,0.7519251571712551,0.17074493152021494,0.7520648659091607,0.19109228436493278,0.7534835305270945,0.1700451990352436,0.726526440434998,0.1900133565549972,only_shin
RandomForest,0.71069456734387,0.22923924834444948,0.7277346216693005,0.2391565141270694,0.7224276330495566,0.2141877767256626,0.6730502210221231,0.25813399003879994,only_thigh
SVM,0.7088574626295621,0.13441185731521535,0.7122870479673974,0.14147185047235444,0.7143110252555879,0.13229049625130995,0.6737373101409522,0.15179564808986207,only_thigh
XGBoost,0.6905183264273369,0.17358906642670982,0.7189924873550816,0.14016551841938918,0.6980836810343899,0.16777270967127425,0.6430130298612211,0.20248345947874608,only_thigh
RandomForest,0.7580608812478693,0.14204686228668542,0.7569303580558084,0.16921166854110742,0.7650761396008711,0.14057078579467833,0.7255111747163693,0.16764470705662865,only_upperarm
SVM,0.753384792397719,0.14062903572889893,0.7457735142464713,0.1799231335798271,0.762313412907732,0.14106124675278817,0.7184422634225888,0.16580575880422774,only_upperarm
XGBoost,0.7306818029271666,0.14733183179610798,0.724054294547199,0.18596243789115513,0.7392938609652429,0.14538844023026531,0.6974311468409875,0.17423551611774427,only_upperarm
RandomForest,0.7505035342303572,0.10156951623784363,0.7415681034280814,0.1433153684640738,0.7543392697428186,0.0960521007513527,0.7062719619362794,0.12469554315023118,only_waist
SVM,0.7726219282780237,0.14433218224725783,0.7809981663865637,0.16191429971450522,0.774186126829805,0.1484375381212965,0.7318135756893824,0.1798460886181393,only_waist
XGBoost,0.7539454134506405,0.09847871456067757,0.7467486137687295,0.1325911821939123,0.7574002341641619,0.08874045731582518,0.7115023348144274,0.11781079932562007,only_waist
RandomForest,0.8209010605534501,0.1542512164015928,0.8347063631318632,0.192837379607744,0.825060398958702,0.1521661208957465,0.8043670189565185,0.18160408948312753,first_2_body_parts
SVM,0.8167351520043741,0.17647762742541595,0.8261223815328599,0.18815186587311256,0.8189619389127947,0.17433527904582868,0.801082584726799,0.1903050964266851,first_2_body_parts
XGBoost,0.8208949259818811,0.1377891356390278,0.8236451291484672,0.1499542861729452,0.8231934432188537,0.13638102708741157,0.7957925945968738,0.16030615859178918,first_2_body_parts
RandomForest,0.8372149727988593,0.15989927940975748,0.850582529098705,0.19107769573499672,0.8438332304365066,0.15721285332658766,0.8249208062999955,0.18322325324303324,first_3_body_parts
SVM,0.8227831946987915,0.15695699125227028,0.8434776020889588,0.1519128386954652,0.8283492476652039,0.15419864861058666,0.8060351108738667,0.1777399169381688,first_3_body_parts
XGBoost,0.8106176460938268,0.14404969191068115,0.8167778288120893,0.1490423935991503,0.8150683523531536,0.14202320933699034,0.7800278488153799,0.1769150318484791,first_3_body_parts
RandomForest,0.8314020720730421,0.15741467000426124,0.8552465323058537,0.1575233133481692,0.8372405107749388,0.1546740428866426,0.8172635183358671,0.19062428384044272,first_4_body_parts
SVM,0.8469974530957602,0.11250485716376256,0.8622437994363431,0.1278741797760431,0.8526161981074007,0.10919238824931322,0.8348601557503902,0.13103627089198322,first_4_body_parts
XGBoost,0.8127150607124657,0.1217741635259343,0.826468638386692,0.13904484357333466,0.8172370049416314,0.11978925803387541,0.7918929448066182,0.142419801994823,first_4_body_parts
RandomForest,0.8342352837941092,0.18730020604382258,0.8494020950883352,0.18056834466883165,0.8397194048866716,0.18524202476409204,0.8174957356084375,0.2226602404327703,first_5_body_parts
SVM,0.9019071636133386,0.11561398396098639,0.9046045442112686,0.1343365990027417,0.9078417909903987,0.11231427897045074,0.8955108172042169,0.13452078672294954,first_5_body_parts
XGBoost,0.8193718205501924,0.13691565535420872,0.8300128811257832,0.1480320633742259,0.8286028637478382,0.13208422706196046,0.8009975136343317,0.1589250212649766,first_5_body_parts
RandomForest,0.8300293163420449,0.17225517326407172,0.8471790831062471,0.16830095417584823,0.838046357829885,0.16923023188122238,0.8142461987819197,0.20269426767788887,first_6_body_parts
SVM,0.8980027567041857,0.11373972838904092,0.9018795340353384,0.13263764677562376,0.9046909284506817,0.11059164961766707,0.8912428916908534,0.13182936436058276,first_6_body_parts
XGBoost,0.8373719843536874,0.1318111925615297,0.8325755428739356,0.14907399790360412,0.8453671769798282,0.12916122178770703,0.8218854630752156,0.14728053081419204,first_6_body_parts
