fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,RandomForest,0.8357924797715374,0.9031165311653118,0.836867376415087,0.834968945757597,1.0,0.9927710843373494,0.9963724304715841,0.5460704607046071,0.9975247524752475,0.7057793345008757,1.0,0.9724770642201835,0.986046511627907,0.9695121951219512,0.75,0.8457446808510638,1.0,0.471563981042654,0.6409017713365539
1,SVM,0.9604950023798191,0.9623559317379339,0.9610147711232649,0.9608121756069978,0.9740566037735849,0.9951807228915662,0.9845053635280095,0.9829268292682927,0.9975247524752475,0.9901719901719902,0.8914893617021277,0.9610091743119266,0.9249448123620309,0.9656992084432717,0.8632075471698113,0.9115815691158157,0.9976076555023924,0.9881516587677726,0.9928571428571429
1,XGBoost,0.9562113279390766,0.9598006768181178,0.9566791278694158,0.9565431015400521,1.0,0.9927710843373494,0.9963724304715841,0.9710843373493976,0.9975247524752475,0.9841269841269841,0.8655804480651731,0.9747706422018348,0.9169363538295577,0.9671232876712329,0.8325471698113207,0.8948035487959443,0.9952153110047847,0.985781990521327,0.9904761904761905
2,RandomForest,0.8613348676639816,0.8595639966969447,0.8799384269173514,0.811654264156026,1.0,0.9975609756097561,0.9987789987789988,0.3092485549132948,0.9907407407407407,0.4713656387665198,1.0,0.9877450980392157,0.9938347718865598,0.9885714285714285,0.42610837438423643,0.5955249569707401,1.0,0.9975369458128078,0.998766954377312
2,SVM,0.9948216340621404,0.990340537047682,0.994219335243676,0.99223572393941,0.9975669099756691,1.0,0.9987819732034104,0.963963963963964,0.9907407407407407,0.9771689497716894,0.9975247524752475,0.9877450980392157,0.9926108374384236,0.9926470588235294,0.9975369458128078,0.995085995085995,1.0,0.9950738916256158,0.9975308641975309
2,XGBoost,0.8055235903337169,0.8472892814617895,0.8330165378926078,0.7508298560790155,0.9973684210526316,0.9243902439024391,0.959493670886076,0.24153498871331827,0.9907407407407407,0.38838475499092556,1.0,0.25980392156862747,0.41245136186770426,1.0,0.9901477832512315,0.995049504950495,0.9975429975429976,1.0,0.998769987699877
3,RandomForest,0.8476580263756253,0.908758684184703,0.838279231688222,0.8211224476188035,0.9951456310679612,0.9832134292565947,0.9891435464414958,0.606318347509113,0.9960079840319361,0.7537764350453172,0.9975845410628019,0.9904076738609112,0.9939831528279182,0.9514563106796117,0.23728813559322035,0.3798449612403101,0.9932885906040269,0.9844789356984479,0.9888641425389755
3,SVM,0.6648476580263756,0.807399353909938,0.6568737211702506,0.61084598829214,0.9694117647058823,0.988009592326139,0.9786223277909739,0.40811258278145696,0.9840319361277445,0.5769455822118198,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.6666666666666666,0.029055690072639227,0.05568445475638051,1.0,0.29046563192904656,0.45017182130584193
3,XGBoost,0.7708049113233287,0.8426701385919747,0.7731076758719946,0.7761363023825736,0.9237668161434978,0.988009592326139,0.9548088064889919,0.51338199513382,0.8423153692614771,0.6379440665154951,1.0,0.9856115107913669,0.9927536231884058,0.7912772585669782,0.6150121065375302,0.6920980926430518,0.9849246231155779,0.43458980044345896,0.6030769230769231
4,RandomForest,0.5956907477820025,0.6122252569473663,0.611135839325413,0.583265023661047,0.5561290322580645,0.9642058165548099,0.7054009819967266,0.9156626506024096,0.4399421128798842,0.5943304007820137,0.2826086956521739,0.24761904761904763,0.2639593908629442,0.3583690987124464,0.41854636591478694,0.3861271676300578,0.9483568075117371,0.9853658536585366,0.9665071770334929
4,SVM,0.8348119983100971,0.8509227268620057,0.8687049464312958,0.8411189686313382,0.8470588235294118,0.9664429530201343,0.9028213166144201,1.0,0.5745296671490593,0.7297794117647058,0.8317972350230415,0.8595238095238096,0.8454332552693209,0.6498316498316499,0.9674185463659147,0.7774420946626385,0.9259259259259259,0.975609756097561,0.9501187648456056
4,XGBoost,0.6434305027460921,0.6474846741274796,0.6661928740975822,0.6048159815571752,0.4757174392935982,0.9642058165548099,0.6371027346637103,0.935672514619883,0.4630969609261939,0.6195546950629235,0.3106796116504854,0.0761904761904762,0.12237093690248566,0.5714285714285714,0.8421052631578947,0.6808510638297872,0.9439252336448598,0.9853658536585366,0.964200477326969
5,RandomForest,0.8614262560777958,0.8903834949309941,0.8956646801351411,0.8768440310325778,1.0,0.9863325740318907,0.9931192660550459,0.9399585921325052,0.6143437077131259,0.7430441898527005,0.9904988123515439,0.9630484988452656,0.9765807962529274,0.5597579425113465,0.9319899244332494,0.6994328922495274,0.9617021276595744,0.9826086956521739,0.9720430107526882
5,SVM,0.8480551053484603,0.879234632016054,0.8840713424948337,0.8632471554932802,0.968609865470852,0.9840546697038725,0.976271186440678,0.949671772428884,0.5872801082543978,0.725752508361204,0.9693396226415094,0.9491916859122402,0.9591598599766628,0.5407407407407407,0.9193954659949622,0.6809701492537313,0.9678111587982833,0.9804347826086957,0.9740820734341252
5,XGBoost,0.8889789303079416,0.9087630743728221,0.9181187964808843,0.8992327543106727,0.9795454545454545,0.9817767653758542,0.9806598407281001,0.9941060903732809,0.6847090663058186,0.8108974358974359,0.9808612440191388,0.9468822170900693,0.963572267920094,0.6234177215189873,0.9924433249370277,0.7657920310981535,0.9658848614072495,0.9847826086956522,0.9752421959095802
