fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,random_forest,0.8086625416468348,0.8802224935114044,0.8100168699227215,0.8053809890422903,0.9113082039911308,0.9903614457831326,0.9491916859122402,0.5373333333333333,0.9975247524752475,0.6984402079722704,0.9837209302325581,0.9701834862385321,0.976905311778291,0.96875,0.5849056603773585,0.7294117647058823,1.0,0.5071090047393365,0.6729559748427673
1,svm,0.9638267491670633,0.9642923208671889,0.9643041927820004,0.9637434640866364,0.9739952718676123,0.9927710843373494,0.9832935560859188,0.9460093896713615,0.9975247524752475,0.9710843373493976,0.9373601789709173,0.9610091743119266,0.9490373725934315,0.9664948453608248,0.8844339622641509,0.9236453201970444,0.9976019184652278,0.985781990521327,0.9916567342073898
1,xgboost,0.9257496430271299,0.9361170247248503,0.926470759499011,0.9246409507999122,0.9975786924939467,0.9927710843373494,0.9951690821256038,0.9482352941176471,0.9975247524752475,0.9722557297949337,0.7830882352941176,0.9770642201834863,0.8693877551020408,0.9540983606557377,0.6863207547169812,0.7983539094650206,0.9975845410628019,0.9786729857819905,0.9880382775119617
2,random_forest,0.7640966628308401,0.7559199555308505,0.7966871953902578,0.6709605264073268,1.0,0.9975609756097561,0.9987789987789988,0.20817120622568094,0.9907407407407407,0.3440514469453376,1.0,0.9877450980392157,0.9938347718865598,0.5714285714285714,0.009852216748768473,0.01937046004842615,1.0,0.9975369458128078,0.998766954377312
2,svm,0.9925201380897584,0.9847708952972111,0.9922488918939223,0.9883598929493402,1.0,1.0,1.0,0.9385964912280702,0.9907407407407407,0.963963963963964,1.0,0.9877450980392157,0.9938347718865598,0.9852579852579852,0.9876847290640394,0.986469864698647,1.0,0.9950738916256158,0.9975308641975309
2,xgboost,0.7031070195627158,0.8304969902762771,0.7452166071549635,0.6676860368176124,1.0,0.9975609756097561,0.9987789987789988,0.17258064516129032,0.9907407407407407,0.29395604395604397,0.9894736842105263,0.23039215686274508,0.37375745526838966,0.9904306220095693,0.5098522167487685,0.6731707317073171,1.0,0.9975369458128078,0.998766954377312
3,random_forest,0.7639836289222374,0.7005760093780934,0.7567408017631853,0.719578603681452,0.9975728155339806,0.9856115107913669,0.991556091676719,0.49338146811071,0.8183632734530938,0.6156156156156156,0.9975845410628019,0.9904076738609112,0.9939831528279182,0.021052631578947368,0.004842615012106538,0.007874015748031496,0.9932885906040269,0.9844789356984479,0.9888641425389755
3,svm,0.6980445657116872,0.8086906025108366,0.689373279471243,0.6532062952836173,0.976303317535545,0.988009592326139,0.9821215733015495,0.4343612334801762,0.9840319361277445,0.6026894865525673,0.9927884615384616,0.9904076738609112,0.9915966386554622,0.64,0.0387409200968523,0.0730593607305936,1.0,0.44567627494456763,0.6165644171779141
3,xgboost,0.7658026375625284,0.847973601452806,0.7720737038266788,0.7621096264833266,0.9626168224299065,0.988009592326139,0.9751479289940829,0.5,0.8083832335329342,0.6178489702517163,1.0,0.9904076738609112,0.9951807228915662,0.7772511848341233,0.7941888619854721,0.7856287425149701,1.0,0.2793791574279379,0.43674176776429807
4,random_forest,0.6861005492184199,0.7314236810613064,0.7146203828114799,0.6814084899199873,0.5693527080581242,0.9642058165548099,0.7159468438538206,0.9936908517350158,0.4558610709117221,0.625,0.6254826254826255,0.38571428571428573,0.47717231222385864,0.5089722675367048,0.7819548872180451,0.616600790513834,0.9596199524940617,0.9853658536585366,0.9723225030084236
