model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,experiment
RandomForest,0.8233406347747637,0.1504740781735977,0.8637693813149965,0.10575454335580725,0.8320807520621576,0.14829587521988744,0.8028155110047609,0.1845849545722824,first_4_parts_plus_gps
SVM,0.8465935433210596,0.12387030567166463,0.8548249239072775,0.13637426416393497,0.8519171972342006,0.12153541246796204,0.8325009434107523,0.139808024900644,first_4_parts_plus_gps
XGBoost,0.8041463342882346,0.12213847643810699,0.8268537204825905,0.1135085859262454,0.8114483357501325,0.11957793300372294,0.7761321857758495,0.1469947121733766,first_4_parts_plus_gps
RandomForest,0.8255102921805193,0.1658019336679552,0.8479046328968409,0.16277035038835877,0.8313454797449372,0.16319791583096258,0.8098937240219113,0.19715813056575412,first_4_parts_plus_light
SVM,0.8326023153418702,0.11969718732153077,0.8407639839442685,0.1332495042828265,0.8377707758774092,0.1168345919384223,0.8166321965025236,0.13846153176690354,first_4_parts_plus_light
XGBoost,0.8197277561109915,0.10396102419207401,0.8275965944114149,0.12302659467062838,0.8236531709133409,0.1017355421254466,0.7989154636726014,0.12039647517001167,first_4_parts_plus_light
RandomForest,0.8305432143838175,0.15299968130387379,0.8530635023696278,0.15312656878170447,0.8363016109799263,0.15025268794348662,0.8164860394720495,0.18677852245956472,first_4_parts_plus_mic
SVM,0.8478508045911993,0.11164124153854522,0.8620238620700519,0.12851405346071768,0.8534882427152686,0.10821081723072466,0.8350649238142658,0.13072638840975778,first_4_parts_plus_mic
XGBoost,0.8145778996455173,0.1382173927632714,0.8310846426406754,0.14658204499571684,0.8191978759254026,0.13544452817147917,0.7933001903313842,0.16281795214929937,first_4_parts_plus_mic
RandomForest,0.8296824691456348,0.16151381033999798,0.8390380318965405,0.20400135589262994,0.8359970727892214,0.15946118244710986,0.8107025118131144,0.19505474364724149,first_4_parts_plus_all
SVM,0.83874719760124,0.1268595408814332,0.8450923129969837,0.1426187769048466,0.8431404316213398,0.12495014990241389,0.8218430387292073,0.14289853939090624,first_4_parts_plus_all
XGBoost,0.8025106394977475,0.14105376888407956,0.8219810539364196,0.15130243359884804,0.8090181524312958,0.13959436325160893,0.7748526724033038,0.16305143475024617,first_4_parts_plus_all
RandomForest,0.8375775674501548,0.16923191687446412,0.8578262375745619,0.17009232936155314,0.8444136784407958,0.16829146590065458,0.8203394579107186,0.20141948915318797,first_5_parts_plus_gps
SVM,0.8964388501093935,0.1208513034301141,0.9020613288687527,0.13578933282577027,0.9021150041169314,0.1183419487648523,0.8893702156925489,0.13715747696973896,first_5_parts_plus_gps
XGBoost,0.8358739326554624,0.15040073021211278,0.8764610677054516,0.10563255399258557,0.8438409412261675,0.1489738133924046,0.8156093612838495,0.16962697610671737,first_5_parts_plus_gps
